CDT_time,bar_fence,T_0_2m_init,T_0_2m_rel,T_0_2m_uconv,T_0_2m_lconv,bar_fence_1,T_1_5m_init,T_1_5m_rel,T_1_5m_uconv,T_1_5m_lconv,bar_fence_2,T_4_5m_init,T_4_5m_rel,T_4_5m_uconv,T_4_5m_lconv,bar_fence_3,T_8_5m_init,T_8_5m_rel,T_8_5m_uconv,T_8_5m_lconv,bar_fence_4,T_15m_init,T_15m_rel,T_15m_uconv,T_15m_lconv,bar_fence_5,T_20m_init,T_20m_rel,T_20m_uconv,T_20m_lconv
05:57:30,|,2.64818787574768,3.16043472290039,2.61463093757629,2.69287633895874,|,3.0491304397583,3.17033553123474,2.93063974380493,3.08739113807678,|,3.18327760696411,3.15107393264771,3.11682271957397,3.24541807174683,|,0,3.27026748657227,0,3.20604038238525,|,0,3.28201341629028,0,3.16826105117798,|,0,3.30973148345947,0,3.31832218170166
06:02:30,|,2.65583896636963,3.10264205932617,2.6624915599823,2.76137113571167,|,3.05399990081787,3.12510061264038,2.96295309066772,3.11738252639771,|,3.15852355957031,3.11201333999634,3.12913036346436,3.29543614387512,|,0,3.24632096290588,0,3.26668906211853,|,0,3.24040269851685,0,3.24315428733826,|,0,3.28057241439819,0,3.4329628944397
06:07:30,|,2.60832214355469,3.16159987449646,2.73879194259644,2.74130439758301,|,3.03334450721741,3.14362406730652,3.03858590126038,3.14023399353027,|,3.16923069953918,3.1375584602356,3.20324420928955,3.27441477775574,|,0,3.26304340362549,0,3.28026843070984,|,0,3.26738262176514,0,3.28114080429077,|,0,3.29845643043518,0,3.45734000205994
06:12:30,|,2.6447491645813,3.14959859848022,2.71208047866821,2.73000001907349,|,3.03853321075439,3.12939596176147,3.0277853012085,3.13872480392456,|,3.16959738731384,3.13161063194275,3.19361209869385,3.32557034492493,|,0,3.25187921524048,0,3.32389259338379,|,0,3.27865767478943,0,3.33177852630615,|,0,3.32315421104431,0,3.50313138961792
06:17:30,|,2.71073818206787,3.25715708732605,2.72456383705139,2.85581946372986,|,3.08404684066772,3.22791957855225,3.00168347358704,3.23334455490112,|,3.22434782981873,3.22355699539185,3.18157196044922,3.44739127159119,|,0,3.35227417945862,0,3.412348985672,|,0,3.38697981834412,0,3.41314387321472,|,0,3.43976426124573,0,3.59040260314941
06:22:30,|,2.76953029632568,3.31959986686707,2.75959730148315,2.9739465713501,|,3.17769241333008,3.31298661231995,3.05409383773804,3.33483219146729,|,3.29073810577393,3.29093956947327,3.2309365272522,3.5067892074585,|,0,3.41929769515991,0,3.46255040168762,|,0,3.43718123435974,0,3.46093964576721,|,0,3.49308729171753,0,3.63336706161499
06:27:30,|,2.80327749252319,3.39026761054993,2.77063965797424,2.98772573471069,|,3.23399996757507,3.38231539726257,3.07530188560486,3.3594982624054,|,3.37297654151917,3.37255024909973,3.24712371826172,3.52248311042786,|,0,3.4879264831543,0,3.5005350112915,|,0,3.50523495674133,0,3.48295307159424,|,0,3.56676769256592,0,3.69585871696472
06:32:30,|,2.87557053565979,3.43280935287476,2.82120800018311,2.92919993400574,|,3.30491638183594,3.43416118621826,3.12101006507874,3.33456373214722,|,3.44120407104492,3.43765115737915,3.30973243713379,3.54959869384766,|,0,3.55789303779602,0,3.53744959831238,|,0,3.58046817779541,0,3.56481599807739,|,0,3.63429522514343,0,3.75429534912109
06:37:30,|,2.90523481369019,3.38665556907654,2.73033547401428,3.01836109161377,|,3.31816053390503,3.40635442733765,3.09744954109192,3.42678928375244,|,3.45194625854492,3.42275166511536,3.28825497627258,3.63644289970398,|,0,3.55738258361816,0,3.60832214355469,|,0,3.58147644996643,0,3.62375855445862,|,0,3.64456367492676,0,3.81531977653503
06:42:30,|,2.79351162910461,3.35546660423279,2.73127508163452,2.92311024665833,|,3.2771999835968,3.40476512908936,3.10269355773926,3.40248322486877,|,3.45404696464539,3.42744970321655,3.31561875343323,3.60926413536072,|,0,3.54919719696045,0,3.57060408592224,|,0,3.6099328994751,0,3.59597325325012,|,0,3.66198658943176,0,3.80319857597351
06:47:30,|,2.78107380867004,3.38946485519409,2.90020203590393,3.08591985702515,|,3.30545139312744,3.42744970321655,3.24429535865784,3.53795981407166,|,3.50778532028198,3.48194622993469,3.44096994400024,3.73510074615479,|,0,3.63080263137817,0,3.75003337860107,|,0,3.72335577011108,0,3.76374578475952,|,0,3.7822482585907,0,3.94919204711914
06:52:30,|,3.03003358840942,3.46892976760864,2.82751679420471,3.16893339157104,|,3.50799322128296,3.53453016281128,3.21932888031006,3.62261748313904,|,3.68307685852051,3.61372470855713,3.44993305206299,3.80351161956787,|,0,3.75535106658936,0,3.79812073707581,|,0,3.80671143531799,0,3.81798648834229,|,0,3.87848997116089,0,3.998619556427
06:57:30,|,3.01983213424683,3.56173324584961,2.85020136833191,3.19187307357788,|,3.52986669540405,3.6400671005249,3.27077436447144,3.67066884040833,|,3.74993300437927,3.7030873298645,3.48016715049744,3.90583896636963,|,0,3.86744952201843,0,3.91322159767151,|,0,4.00617456436157,0,3.96590614318848,|,0,4.08733987808228,0,4.14976501464844
07:02:30,|,3.12591958045959,3.68511700630188,2.95033550262451,3.27053499221802,|,3.68431448936462,3.77093958854675,3.38335585594177,3.75724840164185,|,3.90515065193176,3.85516786575317,3.65742468833923,3.98478269577026,|,0,4.02946519851685,0,3.9929530620575,|,0,4.12603998184204,0,4.04013395309448,|,0,4.18899345397949,0,4.21373748779297
07:07:30,|,3.1525502204895,3.81929755210876,3.0535569190979,3.30371236801147,|,3.7027759552002,3.90328860282898,3.47535347938538,3.78036785125732,|,3.90724849700928,3.95771813392639,3.73033452033997,4.01000022888184,|,0,4.09889650344849,0,4.03642177581787,|,0,4.21154356002808,0,4.07409381866455,|,0,4.28047132492065,0,4.29750871658325
07:12:30,|,3.2371141910553,3.83626675605774,3.17718124389648,3.36498332023621,|,3.75720000267029,3.91134238243103,3.5960066318512,3.84812068939209,|,3.97618722915649,3.97704696655273,3.8135449886322,4.09167242050171,|,0,4.14691305160522,0,4.1267786026001,|,0,4.22421407699585,0,4.17583894729614,|,0,4.29812097549438,0,4.3892617225647
07:17:30,|,3.35778522491455,3.93702340126038,3.31592583656311,3.5053334236145,|,3.87949824333191,4.00798654556274,3.68713808059692,3.98117065429688,|,4.0609393119812,4.04187917709351,3.90157198905945,4.19832229614258,|,0,4.18558549880981,0,4.20020151138306,|,0,4.24281883239746,0,4.22595310211182,|,0,4.3138256072998,0,4.43016862869263
07:22:30,|,3.38919734954834,3.97755861282349,3.35926175117493,3.55334448814392,|,3.93969893455505,4.04838943481445,3.74852347373962,4.04154396057129,|,4.11344480514526,4.07772588729858,3.96622085571289,4.27615404129028,|,0,4.20632123947144,0,4.28825521469116,|,0,4.25395965576172,0,4.31006717681885,|,0,4.30700349807739,0,4.49683523178101
07:27:30,|,3.47979879379272,4.01194000244141,3.45805382728577,3.53903007507324,|,3.9781334400177,4.05255031585693,3.85496640205383,4.03267574310303,|,4.13006687164307,4.06389236450195,4.06625413894653,4.2434229850769,|,0,4.20444822311401,0,4.26812696456909,|,0,4.27798652648926,0,4.30442953109741,|,0,4.33543634414673,0,4.50154876708984
07:32:30,|,3.48932886123657,3.96133327484131,3.41939616203308,3.61086964607239,|,3.94759202003479,4.01147651672363,3.81733989715576,4.09107398986816,|,4.09618711471558,4.0161075592041,4.07217407226563,4.27228164672852,|,0,4.15349006652832,0,4.24637603759766,|,0,4.19275140762329,0,4.26996660232544,|,0,4.25597333908081,0,4.46107387542725
07:37:30,|,3.56020140647888,4.03695678710938,3.39966440200806,3.6377592086792,|,3.97474932670593,4.05362415313721,3.78691267967224,4.11882972717285,|,4.0895299911499,4.03691291809082,4.01387977600098,4.27842807769775,|,0,4.15254211425781,0,4.24744987487793,|,0,4.16228151321411,0,4.23449659347534,|,0,4.19400644302368,0,4.42585849761963
07:42:30,|,3.75321078300476,4.24628782272339,3.63828277587891,3.83559989929199,|,4.05800008773804,4.16812086105347,3.93101000785828,4.16234922409058,|,4.10441446304321,4.10241603851318,4.13317728042603,4.27469778060913,|,0,4.21153831481934,0,4.20704698562622,|,0,4.1810736656189,0,4.16510057449341,|,0,4.19597291946411,0,4.32471370697021
07:47:30,|,3.96812081336975,4.39666652679443,3.82812070846558,3.94424748420715,|,4.17528438568115,4.27442932128906,4.02664470672607,4.14986610412598,|,4.17580509185791,4.16241598129272,4.2758526802063,4.22571897506714,|,0,4.23000001907349,0,4.14103698730469,|,0,4.1693959236145,0,4.07625389099121,|,0,4.17043733596802,0,4.2078857421875
07:52:30,|,4.09442949295044,4.561203956604,3.95872497558594,3.99214053153992,|,4.21688985824585,4.39060401916504,4.10489940643311,4.09442949295044,|,4.19722414016724,4.24674510955811,4.364013671875,4.1704683303833,|,0,4.2849497795105,0,4.09536933898926,|,0,4.19571876525879,0,4.04214763641357,|,0,4.18281841278076,0,4.17195272445679
07:57:30,|,4.2546820640564,4.73003339767456,4.04583930969238,4.03615379333496,|,4.29466676712036,4.51003360748291,4.10461282730103,4.06839466094971,|,4.25010013580322,4.31483221054077,4.39050197601318,4.11577177047729,|,0,4.32842302322388,0,4.0301342010498,|,0,4.22134208679199,0,3.95798659324646,|,0,4.19892597198486,0,4.08508443832397
08:02:30,|,4.39422845840454,4.91533327102661,4.12302017211914,4.15040159225464,|,4.39321041107178,4.60469770431519,4.11053705215454,4.11281871795654,|,4.31939601898193,4.3954176902771,4.35063552856445,4.14357852935791,|,0,4.39852857589722,0,4.03201341629028,|,0,4.27127552032471,0,3.96000003814697,|,0,4.23010110855103,0,4.0976095199585
08:07:30,|,4.56684541702271,5.02060174942017,4.25259256362915,4.30986595153809,|,4.47749185562134,4.64201307296753,4.17644309997559,4.1846489906311,|,4.36638784408569,4.39389228820801,4.35785961151123,4.16704702377319,|,0,4.3965220451355,0,4.06771850585938,|,0,4.2464427947998,0,3.96295309066772,|,0,4.19476509094238,0,4.09953022003174
08:12:30,|,4.74180603027344,5.17190599441528,4.43637609481812,4.40217399597168,|,4.61413335800171,4.75422811508179,4.29733991622925,4.24691295623779,|,4.48087215423584,4.48624134063721,4.46113729476929,4.22545146942139,|,0,4.4626088142395,0,4.11214780807495,|,0,4.31140947341919,0,4.0153021812439,|,0,4.27521896362305,0,4.13680124282837
08:17:30,|,4.97718143463135,5.37346696853638,4.57221460342407,4.56498336791992,|,4.77468252182007,4.87852382659912,4.39771795272827,4.36404657363892,|,4.64745807647705,4.54798650741577,4.53369140625,4.33389234542847,|,0,4.52347803115845,0,4.23321056365967,|,0,4.36979866027832,0,4.15076923370361,|,0,4.32966470718384,0,4.27313137054443
