CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv,,Init,Rel,Uconv,Lconv
20:47:30,|,0.623617887,1.945701361,2.393534422,2.688663006,2.962465525,3.213732004,|,0.243717909,0.914319396,1.271603823,1.753956795,2.250263214,3.195277929,|,NaN,1.030355096,1.630391002,2.088937998,2.436904907,3.110264063,|,0.089883298,0.257030308,0.501483321,0.315969437,0.730472386,1.999503732,|,2.802596569,1.513540149,3.723331928,2.541751623,4.050364494,3.145123482,,1,1,0,0
20:52:30,|,0.613330007,1.926762581,2.444617271,2.776938438,3.113461494,3.316553354,|,0.239373326,0.973950922,1.498030305,1.543167472,1.846235514,2.947051048,|,NaN,0.833654702,1.304244637,1.802825809,2.143819094,2.831667423,|,0.116446666,0.339037001,0.527404904,0.391618997,0.589134634,1.875571132,|,2.378258944,1.274795413,3.700389147,2.588771582,4.008531094,3.006356716,,1,1,0,0
20:57:30,|,0.584066689,1.671408296,2.193016529,2.633853912,3.044485092,3.278481722,|,0.306719989,1.088057637,1.725389242,1.68002212,1.837493777,2.773852348,|,NaN,0.762017429,0.949091971,1.11555469,1.382425189,2.243953705,|,0.093223333,0.286516666,0.414894491,0.403410852,0.624186277,1.889875889,|,2.19512248,1.251548767,3.674674034,2.593479633,4.041843414,3.026827097,,1,0,0,0
21:02:30,|,0.665566683,1.894990683,2.494137764,2.993465662,3.356050014,3.534082174,|,0.236016661,0.9695279,1.445773482,1.668622017,1.817810416,2.729608774,|,NaN,0.792251468,1.148540854,1.372549057,1.666203618,2.54411006,|,0.07418,0.430694282,0.614983916,0.947237432,1.451006532,2.298644066,|,2.168683529,1.983108163,3.709018469,2.871042728,4.181574345,3.323008776,,1,1,0,1
21:07:30,|,0.691186666,2.000871658,2.564683437,2.999248028,3.354193926,3.632891178,|,0.200553328,0.802058458,1.21382618,1.362986207,1.571128011,2.667405367,|,NaN,0.587658644,1.031656742,1.590019464,2.086673498,2.919587374,|,0.069749996,0.43746835,0.971975803,1.506636739,1.926285744,2.522395134,|,2.073151112,2.311410666,3.689147949,2.996638775,4.361945629,3.426435709,,1,1,0,1
21:12:30,|,0.751977324,2.084576368,2.673245192,3.076393127,3.394645929,3.660615683,|,0.181817278,0.819606781,1.218062997,1.317878962,1.486034036,2.531651974,|,NaN,0.507348537,0.924457073,1.483414531,1.999448657,2.828802347,|,0.115249999,0.278182864,0.632745087,1.224361658,1.632594705,2.255153894,|,1.95845139,2.030768871,3.449572325,2.858435392,4.002671242,3.332436562,,1,1,0,1
21:17:30,|,0.710663319,2.024154663,2.640082359,3.091909885,3.464675903,3.752421618,|,0.182999998,0.755085766,1.095042944,1.192324877,1.444554567,2.553818703,|,NaN,0.648853779,1.144684911,1.687138677,2.125020266,2.857677698,|,0.092037342,0.202847883,0.451418042,1.137541413,1.626045465,2.211357117,|,1.942573667,2.041710377,3.455420971,2.701144695,3.987384319,3.146232843,,1,1,0,1
21:22:30,|,0.840943336,2.2123034,2.790835857,3.251355886,3.614703655,3.940938234,|,0.360436797,1.014636874,1.537963748,2.002544165,2.370216846,3.21128273,|,NaN,1.00836587,1.604148865,2.182623386,2.563677073,3.188867092,|,0.164297163,0.786563933,1.233733416,1.6970191,2.029774189,2.550037622,|,2.779280901,2.367110491,3.975424767,3.124256372,4.459976673,3.598101854,,1,1,0,1
21:27:30,|,0.929773331,2.397635937,2.917967319,3.278865576,3.641379356,3.982635498,|,0.621443331,1.55586338,2.105935097,2.569058657,2.891103983,3.672154665,|,NaN,1.537562966,2.072756529,2.546443462,2.9192307,3.570956945,|,0.337723345,1.351985693,1.736518502,2.019616127,2.35219121,2.879610538,|,3.291165113,2.671452761,4.334362984,3.388918877,4.859677315,3.784642935,,1,1,0,1
21:32:30,|,0.952933311,2.421553612,2.955696344,3.38158083,3.716601849,4.003919125,|,0.712050021,1.679519892,2.262818813,2.822898865,3.146340847,3.992058039,|,NaN,1.571232677,2.150448084,2.658765078,3.028541327,3.73030138,|,0.374993324,1.461697817,1.889601827,2.231669664,2.601374149,3.177212477,|,3.539565563,2.960831642,4.673267841,3.737566948,5.110728741,4.13791275,,1,1,0,1
