CDT_time,bar_fence,dir_0_2m_init,dir_1_5m_init,dir_3m_init,dir_4_5m_init,dir_6m_init,dir_10m_init,bar_fence_1,dir_0_2m_rel,dir_1_5m_rel,dir_3m_rel,dir_4_5m_rel,dir_6m_rel,dir_10m_rel,bar_fence_2,dir_0_2m_uconv,dir_1_5m_uconv,dir_3m_uconv,dir_4_5m_uconv,dir_6m_uconv,dir_10m_uconv,bar_fence_3,dir_0_2m_lconv,dir_1_5m_lconv,dir_3m_lconv,dir_4_5m_lconv,dir_6m_lconv,dir_10m_lconv
21:57:30,|,354.7459412,93.31423187,82.70140839,81.46674347,84.86510468,81.81911469,|,296.7738037,NaN,94.93540955,90.92436218,86.57375336,88.07143402,|,328.8076477,115.7128067,99.97704315,100.2728043,96.10432434,94.06341553,|,281.8578491,94.63591766,103.5915833,96.15377808,91.47351837,86.27767944
22:02:30,|,90.6714325,147.5494385,85.24914551,85.71661377,90.93434906,85.19326019,|,264.5073547,NaN,102.0681458,94.04204559,89.33300781,91.10150146,|,305.6342163,109.3977966,97.83870697,100.2492218,96.90689087,94.19384766,|,278.1105042,94.93375397,102.3039551,96.10103607,91.5193634,86.97837067
22:07:30,|,280.6014709,90.13141632,85.66425323,84.48867035,86.94474792,82.43887329,|,301.0184021,NaN,96.55302429,89.60500336,85.86793518,90.10076904,|,313.7378845,110.4588852,98.13676453,100.6333771,95.485672,91.69783783,|,281.0226746,91.59137726,99.8943634,95.30423737,91.44365692,87.18904877
22:12:30,|,90.03704071,246.1773682,119.4101868,92.90005493,94.9210434,84.95528412,|,285.6882935,NaN,96.76894379,90.37837219,84.02947998,88.71375275,|,17.1169548,113.8763199,94.46730804,96.7717514,94.05420685,94.66589355,|,276.9066162,89.65755463,96.71838379,93.25873566,91.12725067,88.16303253
22:17:30,|,81.02633667,260.2789917,256.4881592,94.61981964,99.1027832,85.4837265,|,290.0086975,NaN,91.13899231,88.62014771,87.16416168,92.27539825,|,291.0262451,101.4137344,96.83677673,98.51663208,95.02252197,93.42339325,|,278.0104675,89.38447571,94.15479279,89.61000824,87.17747498,84.44289398
22:22:30,|,87.43457031,251.9208221,243.805191,99.76429749,100.7467575,90.11225891,|,291.0961304,NaN,103.1712265,94.30986786,90.25630188,90.26303101,|,288.2637939,101.6171494,97.23173523,98.078125,93.29798889,93.19778442,|,280.6057739,88.60388947,94.35817719,89.17138672,86.98044586,85.29833984
22:27:30,|,87.07450867,71.9513855,86.23345947,87.85786438,90.52160645,87.51744843,|,279.0681152,NaN,99.97798157,90.98956299,87.37852478,92.91647339,|,285.7113037,104.6668396,100.9408951,103.4764862,99.78422546,97.60332489,|,282.9234314,91.1806488,95.21386719,89.043396,87.26294708,85.05008698
22:32:30,|,334.9732666,76.84676361,80.90077972,81.69454193,87.5134201,86.05698395,|,270.9031677,NaN,98.00574493,90.88945007,87.71080017,93.80735016,|,275.3959045,94.32227325,92.36230469,97.06600189,94.8918457,95.78695679,|,283.5092163,90.46201324,95.09233856,90.21955109,87.91802216,87.27796173
22:37:30,|,91.9356842,176.7238922,86.81002045,87.42762756,89.49036407,84.05387878,|,270.4614563,NaN,91.81550598,87.07117462,83.84077454,90.43032837,|,271.0962219,92.05349731,92.58226776,96.29311371,95.18044281,95.60985565,|,286.4990234,90.4723053,95.70527649,89.84078217,88.37669373,88.12535095
22:42:30,|,93.09780121,255.1911011,98.47842407,96.43043518,100.4293823,91.27948761,|,300.6114197,NaN,95.24191284,91.16983032,87.65114594,92.77822113,|,287.2681885,104.5125046,97.89360046,101.1774216,96.48873901,99.67254639,|,280.327301,90.85684967,100.8189087,98.99137878,96.71432495,94.2226181
22:47:30,|,89.7011795,274.4507751,221.43367,89.44545746,90.08699036,89.35313416,|,300.8328857,NaN,93.47418213,87.1469574,84.44690704,91.47025299,|,274.7931519,93.89440918,92.42996216,96.08123779,93.13267517,96.08046722,|,277.3344116,90.58097839,98.00073242,94.66485596,93.14073181,92.89628601
22:52:30,|,67.57247925,255.9739227,85.80563354,89.00210571,90.35655212,86.84740448,|,277.8125916,NaN,95.79447174,88.11811829,85.0843277,90.67710876,|,275.2095947,96.09220886,93.01043701,96.64769745,94.60540771,95.63143158,|,280.4591675,90.58602142,95.85174561,91.55821991,88.95121765,87.53851318
22:57:30,|,95.28970337,90.29216003,82.07700348,80.25603485,83.26445007,80.00517273,|,271.9187622,NaN,86.22092438,82.24421692,79.41915894,87.3367691,|,272.2810974,92.14427948,88.32125092,90.27391052,89.57932281,88.36639404,|,277.4366455,85.26268768,90.10112762,84.49704742,82.96307373,83.82054901
23:02:30,|,255.3575439,76.21390533,77.94878387,76.95041656,81.68144226,81.56539917,|,281.5588684,NaN,95.63288879,86.92193604,81.16505432,85.37458801,|,280.2395325,98.27024841,91.50601959,92.60305786,91.20870209,89.20413971,|,274.6448059,85.0514679,90.34467316,84.71934509,83.31822968,82.7838974
23:07:30,|,266.3831482,80.42655945,77.83271027,73.18126678,77.02100372,77.65589142,|,278.5997009,NaN,85.93897247,77.4251709,73.31780243,83.43747711,|,278.8362122,96.72010803,91.73249817,91.64624023,89.77037811,87.86231232,|,276.3169861,86.03004456,91.6091156,86.03193665,84.05826569,82.29206085
23:12:30,|,268.137207,81.27215576,79.02263641,78.25845337,81.08881378,78.0459671,|,283.7290649,NaN,85.87223816,82.9954834,79.89567566,85.30741882,|,275.943573,96.16667175,93.14742279,94.00624084,90.91174316,89.36470032,|,273.466095,85.91292572,91.01643372,86.0828476,84.36694336,83.50841522
23:17:30,|,261.5722961,78.83669281,78.01279449,76.12213898,80.41430664,79.56788635,|,277.0529175,NaN,92.43688965,86.15262604,82.91645813,83.28836823,|,278.3301086,95.56913757,92.94670868,93.55736542,90.59705353,88.3846283,|,273.9230347,84.23556519,89.65103149,85.15213013,83.75609589,83.20266724
23:22:30,|,260.7136536,73.46987915,75.23575592,74.19881439,78.5109787,78.43061829,|,281.3600159,NaN,88.39194489,81.95658112,77.10259247,83.05484772,|,279.2700195,99.4447937,94.95444489,95.03720856,92.13075256,89.27436066,|,273.1183472,86.6190567,91.88871765,86.79529572,84.22306824,83.42305756
23:27:30,|,75.3634491,88.65363312,75.7450943,78.1909256,81.2700119,76.66537476,|,276.8150024,NaN,89.66485596,83.53985596,78.35643005,84.3136673,|,280.5193481,97.98747253,93.19467926,93.29967499,89.75489044,89.54570007,|,275.8836365,87.86292267,93.6955719,88.10662079,86.52938843,84.20708466
23:32:30,|,78.96134186,88.26524353,72.32774353,75.64582062,80.96595764,77.45944214,|,282.6266174,NaN,89.0184021,83.04141998,77.35894775,82.41732788,|,279.7251282,97.70453644,93.03640747,94.01105499,91.18744659,89.33512115,|,279.162384,88.93006897,94.76675415,89.37940979,86.91531372,84.3216095
23:37:30,|,68.95496368,239.1755981,77.0202179,81.61128998,83.17510986,79.5960083,|,289.637085,NaN,89.92971039,86.28091431,80.50928497,86.18202209,|,287.0159302,107.3695831,97.94476318,99.75322723,94.69808197,91.26670074,|,279.663208,88.74251556,95.48925781,90.46400452,87.60298157,85.60587311
23:42:30,|,104.6269302,273.6968689,56.91942596,83.36647797,87.1493988,80.81288147,|,285.3184204,NaN,95.71141052,85.84514618,82.24217224,87.46452332,|,300.9767761,102.0379639,96.26026917,99.4380722,93.62653351,92.54122162,|,282.1705017,91.30436707,98.9658432,93.97473907,91.3136673,86.12923431
23:47:30,|,96.94883728,241.0809937,155.7937317,80.99817657,86.86632538,81.17660522,|,281.6150818,NaN,84.01995087,80.65422058,77.110672,83.37355042,|,282.9331055,97.99530029,91.60323334,94.027565,92.00837708,90.81572723,|,281.4119568,90.41321564,98.80517578,93.60827637,90.13441467,85.33821106
23:52:30,|,85.26091766,251.0873871,249.2806091,175.7073669,123.8550797,93.05316162,|,297.7059631,NaN,113.6001816,99.37023163,95.13647461,89.95173645,|,349.6580505,145.2915955,123.5467453,116.5744781,106.2329865,98.94458008,|,274.1419678,97.14958191,107.8504333,104.2310867,99.51248169,90.95383453
23:57:30,|,90.7766571,274.2515564,274.0894165,139.4730682,123.2949066,101.0605011,|,13.07131958,NaN,114.8652039,104.9831467,107.9443054,100.780983,|,4.940973282,157.2881622,134.3570099,123.4842834,109.9508133,104.6924057,|,283.8272705,99.16346741,111.8192139,110.1144562,105.7389908,97.06908417
0:02:30,|,71.35522461,250.9756317,3.591132402,77.51030731,84.13568878,85.22896576,|,87.00788116,NaN,88.18326569,100.4815369,102.7744293,99.33331299,|,137.023056,105.9764862,101.7455215,108.1064835,102.0659485,99.71324158,|,270.5062256,86.99807739,100.4026718,98.1741333,95.45603943,90.53797913
0:07:30,|,80.86750793,245.4140015,206.1430511,108.2206192,97.41254425,88.52780151,|,94.87749481,NaN,82.2891922,85.09701538,85.32774353,88.7807312,|,346.0041199,123.2853622,106.6336136,103.5417328,94.98093414,95.72314453,|,281.4006348,90.12580872,97.86660004,92.89551544,90.99675751,87.18598175
0:12:30,|,88.28610229,244.3854065,221.3590546,108.935524,106.8023758,90.01109314,|,109.9010315,NaN,103.1621552,94.89328766,90.58988953,93.6244812,|,332.821228,124.0684509,103.3421631,104.9284973,97.48972321,94.46912384,|,276.4513245,89.04110718,97.60797882,94.20913696,92.3330307,88.62580872
0:17:30,|,87.73730469,264.0328369,257.7279968,139.8377686,112.6679611,93.49568939,|,283.3827515,NaN,105.2817917,98.44034576,95.71747589,96.8407135,|,298.2017212,110.1989441,105.4587708,107.3423691,99.86522675,98.02555084,|,275.4880371,89.04662323,96.24385071,92.76526642,90.94550323,89.4733429
0:22:30,|,85.37197876,275.302948,303.6366272,94.83631134,91.7149353,87.09293365,|,277.3367004,NaN,97.10069275,95.44249725,92.72561646,92.71149445,|,280.4971008,98.4559021,93.65823364,97.14360809,94.05231476,95.10749054,|,273.3461304,87.85813904,94.42047119,90.48561859,88.38195038,86.93171692
0:27:30,|,85.90293121,256.9677429,281.5996399,83.19698334,89.01609802,83.67166138,|,338.631958,NaN,91.94544983,85.9662323,81.55454254,88.36895752,|,276.4554138,96.23698425,91.50457001,92.52375031,90.40749359,90.99518585,|,271.7494202,85.67269897,91.58533478,86.84024048,84.97006226,84.06006622
0:32:30,|,354.6558838,99.37078857,87.68560028,87.99002075,89.27442169,81.9878006,|,277.2415161,NaN,90.88924408,82.68894196,79.67810822,82.3573761,|,280.5114441,98.14563751,93.23710632,94.62812042,91.21437836,89.11611176,|,275.1078186,86.38200378,91.52371216,86.71865845,85.26541901,83.38820648
0:37:30,|,48.7650032,148.7105103,86.58415985,84.40937042,88.63998413,84.97172546,|,288.6111145,NaN,99.88296509,93.40818787,87.13447571,88.84590149,|,290.5632935,101.5289459,95.91688538,99.06732941,93.69211578,92.19142914,|,274.5047913,86.74823761,93.41095734,88.49630737,86.59117126,84.41838074
0:42:30,|,270.3657227,94.17822266,86.06983948,84.94300079,87.23733521,86.49973297,|,278.5205383,NaN,95.93598175,86.88848877,79.90583801,84.94749451,|,278.6522217,96.27861023,91.86144257,93.00121307,90.82151794,89.84682465,|,273.4448547,85.27545929,90.16321564,85.90406799,84.10055542,83.47889709
0:47:30,|,61.69761276,212.7277527,82.7789917,82.83473969,84.21933746,82.76705933,|,297.2318115,NaN,87.89134216,84.88553619,81.28371429,86.83480835,|,280.8672791,97.58218384,93.63921356,94.15138245,91.49182129,89.18356323,|,275.8490906,85.71789551,90.45755768,85.07478333,82.95432281,82.47904968
0:52:30,|,98.03655243,259.0597839,77.90866852,87.34636688,94.04666901,86.75009918,|,281.8876648,NaN,98.76840973,87.78800964,82.65795898,84.05796051,|,279.4484253,97.04932404,92.19023895,94.12955475,91.82252502,91.66107178,|,274.6954041,86.83081818,91.22031403,86.60210419,85.08634949,83.34410858
0:57:30,|,214.2216339,91.44550323,86.95559692,88.18885803,97.22879791,89.96005249,|,275.1401672,NaN,102.9547882,98.11592102,93.95313263,90.96502686,|,273.4225769,94.0798111,90.85749054,94.91664886,91.39842987,92.91835022,|,276.1481628,88.59198761,93.10971832,88.52402496,86.78592682,84.55007935
1:02:30,|,94.97821045,269.8005676,86.19742584,86.73308563,92.24201202,86.15689087,|,275.5444641,NaN,96.47999573,90.82130432,88.1027298,88.53479004,|,283.1503906,98.50227356,94.2306366,95.61975098,91.99145508,91.75701141,|,274.5852356,86.47775269,91.04925537,86.18021393,84.15363312,83.33515167
1:07:30,|,95.73774719,280.7601318,84.53270721,91.40198517,92.3480072,86.35005951,|,277.7872925,NaN,92.94519043,85.93753815,82.02636719,89.87574005,|,285.3662415,100.0713882,95.81877136,97.29252625,93.12340546,90.38105774,|,276.1571045,86.70425415,91.30902863,86.96229553,84.50649261,83.86224365
1:12:30,|,262.4071655,78.7348175,76.7980957,85.2946701,91.56291199,85.30452728,|,277.4380493,NaN,91.5482254,92.84354401,90.49454498,94.75635529,|,275.0690002,95.67089844,93.77190399,96.03523254,92.75429535,93.72373199,|,274.379425,85.87691498,91.18065643,86.49740601,83.72685242,83.10241699
1:17:30,|,271.5596313,82.21417999,78.26538849,74.28164673,79.98470306,78.05187988,|,272.9790344,NaN,76.62443542,76.32485199,75.7078476,81.50209045,|,283.2870483,98.5255661,92.63817596,93.1570816,89.94651031,88.73963165,|,275.946167,85.42791748,88.97881317,83.75036621,82.19748688,80.82247162
1:22:30,|,279.7218018,85.82752991,78.61133575,76.06777954,78.37905884,78.6925354,|,281.9770508,NaN,86.44081879,79.41217804,73.81284332,81.95886993,|,282.3233032,98.60723877,92.27398682,92.96186829,89.02998352,86.90233612,|,274.8484192,84.37756348,88.46923828,83.45122528,82.04260254,80.69685364
1:27:30,|,265.7664185,81.88233185,80.0819931,77.1572876,81.20389557,82.88935089,|,277.020874,NaN,88.99079132,86.37273407,83.595047,88.46982574,|,277.3894653,99.51313019,93.75014496,95.61569977,91.03359222,88.52428436,|,274.8746643,85.33843994,89.08370972,83.73550415,82.02754211,82.07473755
1:32:30,|,266.4099121,81.73386383,79.57502747,81.00955963,85.92597198,83.20035553,|,281.7182312,NaN,92.0054245,86.50289917,82.77391815,88.68713379,|,274.3302307,99.59785461,94.23184967,94.56249237,89.97432709,88.47990417,|,274.297699,84.61977386,88.70926666,82.46668243,80.95278931,80.49467468
1:37:30,|,256.6630554,80.33204651,85.66005707,85.57097626,89.25946045,87.11569214,|,271.8397827,NaN,94.05827332,87.51120758,83.0293808,89.53797913,|,278.1157532,97.64725494,93.36664581,94.85086823,90.59906769,89.80992889,|,276.4059753,86.14553833,89.985466,85.41271973,83.79562378,82.75108337
1:42:30,|,271.1812134,93.54085541,90.68236542,88.48355103,91.90354919,86.93565369,|,267.9584656,NaN,88.50254822,88.28761292,85.72354126,92.22957611,|,272.2559509,93.96289825,91.93512726,94.34840393,92.48381805,92.16551208,|,278.1163635,86.81552124,93.11529541,88.67938232,87.35909271,88.07804871
1:47:30,|,272.8409729,93.50413513,84.16268921,82.62407684,88.55878448,85.88186646,|,278.5539246,NaN,92.60935974,87.90534973,84.87949371,89.78174591,|,270.3592529,93.0645752,90.25455475,93.80097961,91.03211975,91.96936035,|,272.2693787,87.58556366,94.53543091,90.41246796,89.20729065,89.58839417
1:52:30,|,266.9320068,90.2636795,89.36339569,87.28942871,90.91954041,87.90005493,|,270.5489197,NaN,92.36466217,86.60260773,84.49564362,90.25617218,|,272.4504089,96.5461731,93.76638794,94.69543457,91.71006775,93.62345886,|,273.4291077,85.99105835,92.76266479,88.55464935,87.8258667,88.52624512
1:57:30,|,261.2858276,82.12908936,80.84979248,79.02922821,83.3757782,79.92162323,|,277.3972778,NaN,93.85012817,85.9617157,80.35546875,85.76400757,|,268.8016968,90.5368576,88.49524689,90.45237732,88.4488678,89.43091583,|,270.8756104,83.59540558,88.51210785,84.60482788,82.51753998,82.72911835
2:02:30,|,259.6121216,82.61077881,84.3181076,81.63661957,84.10793304,83.43920135,|,282.0265503,NaN,98.14575958,87.6466217,83.64613342,89.62718964,|,276.2797546,96.4368515,92.15991974,93.63886261,92.4958725,90.75735474,|,274.1836548,84.96766663,90.01203918,84.66512299,82.59191132,82.31333923
2:07:30,|,264.2924805,85.0894928,86.06342316,84.2917099,88.69315338,86.86353302,|,284.1877441,NaN,101.6740265,92.52902985,89.15573883,92.6420517,|,274.3321838,99.07492065,95.84101868,98.16676331,94.81464386,93.73091125,|,275.8955688,88.7150116,92.50743866,87.88238525,85.72655487,85.49443054
2:12:30,|,265.7975464,84.56164551,86.64292908,86.68375397,90.55696106,88.79067993,|,283.1508179,NaN,100.4370499,91.15545654,86.94024658,90.85057068,|,271.0025024,96.66411591,94.5222168,96.24623871,93.14086151,92.82458496,|,276.5457764,86.55144501,91.15549469,86.46335602,84.48765564,84.86281586
2:17:30,|,266.1896057,89.39168549,89.21198273,86.36290741,92.90453339,90.53040314,|,281.4316711,NaN,101.5579987,92.39091492,89.68457031,92.91119385,|,273.0116272,98.21018219,94.71166229,97.63652802,94.9401474,94.47237396,|,277.7888489,89.521698,94.50055695,89.16098785,87.17870331,86.04157257
2:22:30,|,273.3104858,97.42272186,92.97039032,93.61820221,96.35187531,92.72445679,|,280.7358093,NaN,101.1370621,93.35604858,90.17777252,92.18099976,|,270.6825256,96.15454102,93.33942413,97.94950867,94.22718048,98.87627411,|,280.6929626,92.75087738,98.88388062,94.17142487,91.25506592,89.51580048
2:27:30,|,306.2388916,113.3956833,105.7624435,104.0653687,103.1762009,97.13624573,|,289.6400146,NaN,103.7953339,94.0295639,92.81912231,95.85267639,|,275.866272,98.52253723,95.57958984,99.90118408,97.03709412,99.22705841,|,285.4979858,94.39339447,100.3840485,95.79521942,93.40658569,91.11064911
2:32:30,|,295.4266357,109.8666077,101.5525436,102.4873123,105.1142654,97.11090851,|,280.7609253,NaN,102.3687592,94.46562958,91.90272522,96.00849152,|,279.2904358,102.9181747,98.91499329,104.0788193,99.38069916,101.0322189,|,285.5130005,95.2911377,100.747406,96.44287109,94.00894165,93.08889008
2:37:30,|,11.93238926,109.7278519,97.25844574,94.03591919,100.4903717,97.75895691,|,281.9587708,NaN,101.1741486,93.85150146,91.04834747,93.78981781,|,276.7338562,101.8544388,96.16590881,100.393074,96.42046356,99.26475525,|,280.2938538,92.03121948,100.1454697,96.61895752,94.52549744,93.53663635
