CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
22:57:30,|,NaN,295.41268349,NaN,-0.013996241,NaN,1.770961523,NaN,-0.790184855,NaN,-0.047735937,NaN,0.004365238
23:02:30,|,NaN,295.51986504,NaN,-0.015321688,NaN,2.554874182,NaN,-1.306146383,NaN,-0.11471682,NaN,0.027042037
23:07:30,|,NaN,295.32310486,NaN,-0.018044559,NaN,2.530216694,NaN,-1.687722325,NaN,-0.111782826,NaN,0.103314832
23:12:30,|,NaN,295.03255463,NaN,-0.026204126,NaN,2.055740356,NaN,-1.954297185,NaN,-0.043038458,NaN,0.115117267
23:17:30,|,NaN,293.72413826,NaN,-0.029792866,NaN,2.214440346,NaN,-3.078451872,NaN,-0.249362886,NaN,0.326820731
23:22:30,|,NaN,293.26115036,NaN,-0.030604139,NaN,2.416187763,NaN,-2.761317253,NaN,-0.13615042,NaN,0.252767652
23:57:30,|,292.09025002,292.73724174,-0.012995292,-0.013596874,1.54632771,1.7063936,-1.276621103,-1.402720451,-0.009175492,-0.011237913,0.03387123,0.072198346
00:02:30,|,292.11245537,292.6936779,-0.019430736,-0.030164804,1.313601494,1.49578464,-1.579307675,-1.702928305,-0.004945346,-0.032490604,0.089297406,0.170393243
00:07:30,|,292.14759445,292.66491699,-0.024983812,-0.036482599,1.484312177,1.734077096,-1.863504887,-2.096747875,-0.05310132,-0.136360675,0.087589473,0.131998017
00:12:30,|,292.14885521,292.55145645,-0.012234124,-0.016671814,1.590544701,1.769324183,-1.49570024,-1.65948987,-0.030386005,-0.065888204,0.04822981,0.10315118
00:17:30,|,292.09723091,292.36034393,-0.006551267,-0.004268363,1.325894833,1.390323043,-1.099487066,-1.190809965,0.001941435,-0.006908514,0.03170643,0.04961212
00:22:30,|,292.09446907,292.20425606,-0.011586583,-0.014542538,1.301072955,1.412273049,-1.255160928,-1.363490701,-0.017769793,-0.022975009,0.044012137,0.084448233
00:27:30,|,292.19192123,292.10131073,-0.010013452,-0.011849227,1.53905642,1.672632813,-1.307808757,-1.413756251,-0.036043033,-0.039291881,0.05362108,0.101209074
00:32:30,|,292.24352074,291.84831619,-0.009643937,-0.009123755,1.477213383,1.608478308,-1.424748659,-1.55848825,-0.0306412,-0.045965549,0.067053221,0.115460552
00:37:30,|,292.1941433,291.67337227,-0.013268623,-0.01730793,1.483774662,1.684080482,-1.381060839,-1.516527414,-0.0464116,-0.064752132,0.074155971,0.118623115
00:42:30,|,292.1268959,291.69910431,-0.011900289,-0.015470607,1.614662766,1.803653836,-1.43102777,-1.51059258,-0.048428193,-0.09543319,0.040758237,0.083270088
