,,DT6,,DT7,,DT8,,DT2,,DT3,,DT10,,DT9,,DT5
10/17/2018,23:25:33,0,23:25:33,,23:25:33,,23:25:33,,23:25:33,,23:25:33,,23:25:33,,23:25:33,
10/17/2018,23:25:34,0,23:25:34,,23:25:34,,23:25:34,,23:25:34,,23:25:34,,23:25:34,,23:25:34,
10/17/2018,23:25:35,0,23:25:35,,23:25:35,,23:25:35,,23:25:35,,23:25:35,,23:25:35,,23:25:35,
10/17/2018,23:25:36,0,23:25:36,,23:25:36,,23:25:36,,23:25:36,,23:25:36,,23:25:36,,23:25:36,
10/17/2018,23:25:37,0,23:25:37,,23:25:37,,23:25:37,,23:25:37,,23:25:37,,23:25:37,,23:25:37,
10/17/2018,23:25:38,0.001,23:25:38,,23:25:38,,23:25:38,,23:25:38,,23:25:38,,23:25:38,,23:25:38,
10/17/2018,23:25:39,0,23:25:39,,23:25:39,,23:25:39,,23:25:39,,23:25:39,,23:25:39,,23:25:39,
10/17/2018,23:25:40,0,23:25:40,,23:25:40,,23:25:40,,23:25:40,,23:25:40,,23:25:40,,23:25:40,
10/17/2018,23:25:41,0.001,23:25:41,,23:25:41,,23:25:41,,23:25:41,,23:25:41,,23:25:41,,23:25:41,
10/17/2018,23:25:42,0.002,23:25:42,0.016,23:25:42,,23:25:42,,23:25:42,,23:25:42,,23:25:42,,23:25:42,
10/17/2018,23:25:43,0.003,23:25:43,0.011,23:25:43,,23:25:43,,23:25:43,,23:25:43,,23:25:43,,23:25:43,
10/17/2018,23:25:44,0.001,23:25:44,0.009,23:25:44,,23:25:44,,23:25:44,,23:25:44,,23:25:44,,23:25:44,
10/17/2018,23:25:45,0,23:25:45,0.007,23:25:45,,23:25:45,,23:25:45,,23:25:45,,23:25:45,,23:25:45,
10/17/2018,23:25:46,0,23:25:46,0.009,23:25:46,,23:25:46,,23:25:46,,23:25:46,,23:25:46,,23:25:46,
10/17/2018,23:25:47,0,23:25:47,0.009,23:25:47,,23:25:47,,23:25:47,,23:25:47,,23:25:47,,23:25:47,
10/17/2018,23:25:48,0,23:25:48,0.008,23:25:48,,23:25:48,,23:25:48,,23:25:48,,23:25:48,,23:25:48,
10/17/2018,23:25:49,0.001,23:25:49,0.009,23:25:49,,23:25:49,,23:25:49,,23:25:49,,23:25:49,,23:25:49,
10/17/2018,23:25:50,0,23:25:50,0.013,23:25:50,,23:25:50,,23:25:50,,23:25:50,,23:25:50,,23:25:50,
10/17/2018,23:25:51,0,23:25:51,0.014,23:25:51,,23:25:51,,23:25:51,,23:25:51,,23:25:51,,23:25:51,
10/17/2018,23:25:52,0,23:25:52,0.01,23:25:52,,23:25:52,,23:25:52,,23:25:52,,23:25:52,,23:25:52,
10/17/2018,23:25:53,0.004,23:25:53,0.01,23:25:53,,23:25:53,,23:25:53,,23:25:53,,23:25:53,,23:25:53,
10/17/2018,23:25:54,0.008,23:25:54,0.01,23:25:54,,23:25:54,,23:25:54,,23:25:54,,23:25:54,,23:25:54,
10/17/2018,23:25:55,0.002,23:25:55,0.011,23:25:55,,23:25:55,,23:25:55,,23:25:55,,23:25:55,,23:25:55,
10/17/2018,23:25:56,0,23:25:56,0.012,23:25:56,,23:25:56,,23:25:56,,23:25:56,,23:25:56,,23:25:56,
10/17/2018,23:25:57,0.001,23:25:57,0.013,23:25:57,,23:25:57,,23:25:57,,23:25:57,,23:25:57,,23:25:57,
10/17/2018,23:25:58,0.001,23:25:58,0.015,23:25:58,,23:25:58,,23:25:58,,23:25:58,,23:25:58,,23:25:58,
10/17/2018,23:25:59,0.001,23:25:59,0.014,23:25:59,,23:25:59,,23:25:59,,23:25:59,,23:25:59,,23:25:59,
10/17/2018,23:26:00,0,23:26:00,0.012,23:26:00,,23:26:00,,23:26:00,,23:26:00,,23:26:00,,23:26:00,
10/17/2018,23:26:01,0.002,23:26:01,0.014,23:26:01,,23:26:01,,23:26:01,,23:26:01,,23:26:01,,23:26:01,
10/17/2018,23:26:02,0.003,23:26:02,0.014,23:26:02,,23:26:02,,23:26:02,,23:26:02,,23:26:02,,23:26:02,
10/17/2018,23:26:03,0.004,23:26:03,0.015,23:26:03,,23:26:03,,23:26:03,,23:26:03,,23:26:03,,23:26:03,
10/17/2018,23:26:04,0.002,23:26:04,0.013,23:26:04,,23:26:04,,23:26:04,,23:26:04,,23:26:04,,23:26:04,
10/17/2018,23:26:05,0.001,23:26:05,0.014,23:26:05,,23:26:05,,23:26:05,,23:26:05,,23:26:05,,23:26:05,
10/17/2018,23:26:06,0,23:26:06,0.015,23:26:06,,23:26:06,,23:26:06,,23:26:06,,23:26:06,,23:26:06,
10/17/2018,23:26:07,0.002,23:26:07,0.011,23:26:07,,23:26:07,,23:26:07,,23:26:07,,23:26:07,,23:26:07,
10/17/2018,23:26:08,0.003,23:26:08,0.012,23:26:08,,23:26:08,,23:26:08,,23:26:08,,23:26:08,,23:26:08,
10/17/2018,23:26:09,0,23:26:09,0.013,23:26:09,,23:26:09,,23:26:09,,23:26:09,,23:26:09,,23:26:09,
10/17/2018,23:26:10,0,23:26:10,0.013,23:26:10,,23:26:10,,23:26:10,,23:26:10,,23:26:10,,23:26:10,
10/17/2018,23:26:11,0.001,23:26:11,0.013,23:26:11,,23:26:11,,23:26:11,,23:26:11,,23:26:11,,23:26:11,
10/17/2018,23:26:12,0,23:26:12,0.013,23:26:12,,23:26:12,,23:26:12,,23:26:12,,23:26:12,,23:26:12,
10/17/2018,23:26:13,0,23:26:13,0.012,23:26:13,,23:26:13,,23:26:13,,23:26:13,,23:26:13,,23:26:13,
10/17/2018,23:26:14,0,23:26:14,0.011,23:26:14,,23:26:14,,23:26:14,,23:26:14,,23:26:14,,23:26:14,
10/17/2018,23:26:15,0.001,23:26:15,0.012,23:26:15,,23:26:15,,23:26:15,,23:26:15,,23:26:15,,23:26:15,
10/17/2018,23:26:16,0.001,23:26:16,0.013,23:26:16,,23:26:16,,23:26:16,,23:26:16,,23:26:16,,23:26:16,
10/17/2018,23:26:17,0,23:26:17,0.013,23:26:17,,23:26:17,,23:26:17,,23:26:17,,23:26:17,,23:26:17,
10/17/2018,23:26:18,0.001,23:26:18,0.013,23:26:18,,23:26:18,,23:26:18,,23:26:18,,23:26:18,,23:26:18,
10/17/2018,23:26:19,0,23:26:19,0.012,23:26:19,,23:26:19,,23:26:19,,23:26:19,,23:26:19,,23:26:19,
10/17/2018,23:26:20,0,23:26:20,0.012,23:26:20,,23:26:20,,23:26:20,,23:26:20,,23:26:20,,23:26:20,
10/17/2018,23:26:21,0.001,23:26:21,0.011,23:26:21,,23:26:21,,23:26:21,,23:26:21,,23:26:21,,23:26:21,
10/17/2018,23:26:22,0.001,23:26:22,0.012,23:26:22,,23:26:22,,23:26:22,,23:26:22,,23:26:22,,23:26:22,
10/17/2018,23:26:23,0.001,23:26:23,0.013,23:26:23,,23:26:23,,23:26:23,,23:26:23,,23:26:23,,23:26:23,
10/17/2018,23:26:24,0,23:26:24,0.018,23:26:24,,23:26:24,,23:26:24,,23:26:24,,23:26:24,,23:26:24,
10/17/2018,23:26:25,0.003,23:26:25,0.018,23:26:25,,23:26:25,,23:26:25,,23:26:25,,23:26:25,,23:26:25,
10/17/2018,23:26:26,0.004,23:26:26,0.012,23:26:26,,23:26:26,,23:26:26,,23:26:26,,23:26:26,,23:26:26,
10/17/2018,23:26:27,0.002,23:26:27,0.013,23:26:27,,23:26:27,,23:26:27,,23:26:27,,23:26:27,,23:26:27,
10/17/2018,23:26:28,0,23:26:28,0.013,23:26:28,,23:26:28,,23:26:28,,23:26:28,,23:26:28,,23:26:28,
10/17/2018,23:26:29,0.001,23:26:29,0.011,23:26:29,,23:26:29,,23:26:29,,23:26:29,,23:26:29,,23:26:29,
