CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv,,Init,Rel,Uconv,Lconv
18:02:30,|,3.23902297,5.215555668,5.611235142,5.89669323,6.272946358,6.627148628,|,3.149836779,4.88613987,5.663088799,6.153948307,6.427976131,6.922718048,|,2.49415803,3.998924732,4.738303185,5.117117882,5.53668642,6.06217432,|,0,0,0,0,0,0,|,6.724859238,0,7.177468777,0,7.321534634,0,,1,1,1,0
21:17:30,|,2.136155367,3.460070133,3.840621471,NaN,NaN,NaN,|,1.916713357,NaN,NaN,3.993237257,4.097194672,4.567988873,|,2.015116692,3.166260242,3.711359262,3.970196486,4.159540653,4.497551441,|,0,0,0,0,0,0,|,4.368191242,0,NaN,0,NaN,0,,0,0,1,0
21:22:30,|,2.442263365,3.896361113,4.276569366,NaN,NaN,NaN,|,1.783206701,NaN,NaN,3.864070892,3.971157789,4.285374165,|,1.730576873,2.724178314,3.181595087,3.443900824,3.652321339,3.938035965,|,0,0,0,0,0,0,|,4.154005051,0,NaN,0,NaN,0,,0,0,1,0
21:27:30,|,2.292109966,3.521561384,3.684684038,NaN,NaN,NaN,|,1.966813326,NaN,NaN,3.858383894,3.929190397,4.358829975,|,1.675513387,2.639143467,3.094778776,3.28873682,3.522033691,3.958781004,|,0,0,0,0,0,0,|,4.154316425,0,NaN,0,NaN,0,,0,0,1,0
21:32:30,|,2.101073265,3.314260006,4.032083035,NaN,NaN,NaN,|,2.009909868,NaN,NaN,3.891200066,3.960059166,4.341854095,|,1.486336708,2.266482353,2.729535341,2.963535547,3.174695015,3.52844286,|,0,0,0,0,0,0,|,4.185935974,0,NaN,0,NaN,0,,0,0,1,0
21:37:30,|,2.044308186,3.375919819,3.755640507,NaN,NaN,NaN,|,1.841580033,NaN,NaN,3.957538366,4.048118591,4.489089012,|,1.619809985,2.497514486,2.850274324,3.047564745,3.245348215,3.558606625,|,0,0,0,0,0,0,|,4.287934303,0,NaN,0,NaN,0,,0,0,1,0
21:42:30,|,2.012399912,3.271389246,3.611877441,NaN,NaN,NaN,|,1.761573315,NaN,NaN,3.600315809,3.662371397,4.034955025,|,1.551319957,2.386162758,2.831477642,3.07153511,3.313098192,3.721550226,|,0,0,0,0,0,0,|,3.876119137,0,NaN,0,NaN,0,,0,0,1,0
21:47:30,|,2.03840661,3.312381506,3.733248711,NaN,NaN,NaN,|,1.787643313,NaN,NaN,3.503764391,3.568607092,4.014879227,|,1.759239793,2.728132725,3.211531401,3.452938795,3.660060883,4.063652515,|,0,0,0,0,0,0,|,3.812125206,0,NaN,0,NaN,0,,0,0,1,0
21:52:30,|,2.054260015,3.264554739,3.624088764,NaN,NaN,NaN,|,1.942863345,NaN,NaN,3.897483826,4.004012108,4.432683945,|,1.910836697,2.929354906,3.457889318,3.680240631,3.898739815,4.281583309,|,0,0,0,0,0,0,|,4.239553928,0,NaN,0,NaN,0,,0,0,1,0
21:57:30,|,2.203026772,3.489378691,3.912393332,NaN,NaN,NaN,|,1.842750907,NaN,NaN,3.81209898,3.955675364,4.430215836,|,1.815763354,2.844746113,3.266998291,3.483471394,3.681980848,3.954404116,|,0,0,0,0,0,0,|,4.204064846,0,NaN,0,NaN,0,,0,0,1,0
22:02:30,|,2.235948563,3.535125971,3.914492607,NaN,NaN,NaN,|,1.973893285,NaN,NaN,3.896214008,4.015403271,4.577634811,|,1.644806623,2.64144969,3.074983358,3.336933374,3.512854099,3.904103279,|,0,0,0,0,0,0,|,4.309582233,0,NaN,0,NaN,0,,0,0,1,0
