,,DT6,,,DT7,,,DT8,,,DT2,,,DT3,,,DT10,,,DT9,,,DT5,
10/18/2018,5:07:30,0.058,3.491793333,5:07:30,0.022,1.136663333,5:07:30,1.4,4.1342,5:07:30,2.417,2.680276667,5:07:30,3.565,3.616836667,5:07:30,4.99,4.845866667,23:54:32,0,0,5:07:30,0.024,0.021233333
10/18/2018,5:12:30,0.031,5.141896667,5:12:30,20,32.74117333,5:12:30,5.4,4.340433333,5:12:30,1.547,1.524026667,5:12:30,4.256,4.695416667,5:12:30,4.89,4.8154,23:54:32,0,0,5:12:30,0.021,0.02002
10/18/2018,5:17:30,7.69,12.0601,5:17:30,15.8,6.14053,5:17:30,5.19,6.7192,5:17:30,0.817,1.27795,5:17:30,1.672,2.30998,5:17:30,1.64,1.670333333,23:54:32,0,0,5:17:30,0.02,0.020236667
10/18/2018,5:22:30,3.88,5.332533333,5:22:30,7.86,6.8495,5:22:30,3.76,3.487186667,5:22:30,1.412,1.49639,5:22:30,0.572,0.626263333,5:22:30,1.27,1.413826667,23:54:32,0,0,5:22:30,0.018,0.017876667
10/18/2018,5:27:30,3.31,6.372766667,5:27:30,4.7,7.289166667,5:27:30,1.74,2.210306667,5:27:30,1.106,1.05035,5:27:30,0.975,1.033013333,5:27:30,2.15,1.936696667,23:54:32,0,0,5:27:30,0.017,0.01717
10/18/2018,5:32:30,9.01,7.832933333,5:32:30,4.8,5.762066667,5:32:30,1.41,1.577246667,5:32:30,1.367,1.34516,5:32:30,0.847,0.79042,5:32:30,1.13,1.30572,23:54:32,0,0,5:32:30,0.016,0.016426667
10/18/2018,5:37:30,13.7,10.0463,5:37:30,7.94,6.977366667,5:37:30,1.42,1.186003333,5:37:30,1.959,1.949573333,5:37:30,0.804,0.73708,5:37:30,0.671,1.209563333,23:54:32,0,0,5:37:30,0.014,0.015316667
10/18/2018,5:42:30,2.96,7.656866667,5:42:30,89.7,14.07176667,5:42:30,5.72,7.3325,5:42:30,2.251,2.699773333,5:42:30,0.775,0.897906667,5:42:30,1.59,1.4192,23:54:32,0,0,5:42:30,0.035,0.26845
10/18/2018,5:47:30,3.54,4.135766667,5:47:30,3.74,3.9583,5:47:30,4.28,5.8298,5:47:30,3.134,3.423883333,5:47:30,1.129,1.150403333,5:47:30,0.588,0.69605,23:54:32,0,0,5:47:30,0.02,0.110463333
10/18/2018,5:52:30,2.7,3.647933333,5:52:30,3.89,6.833266667,5:52:30,0.347,0.890713333,5:52:30,1.089,1.990793333,5:52:30,0.007,0.11288,5:52:30,0.022,0.029443333,23:54:32,0,0,5:52:30,0.03,0.027926667
10/18/2018,5:57:30,13.8,8.9365,5:57:30,13.6,11.83053333,5:57:30,9.46,7.847566667,5:57:30,4.937,4.77951,5:57:30,-0.037,-0.039993333,5:57:30,0.077,0.08701,23:54:32,0,0,5:57:30,0.013,0.014286667
10/18/2018,6:02:30,2.88,3.407493333,6:02:30,3.81,4.893566667,6:02:30,12,7.3668,6:02:30,12.43,10.93907667,6:02:30,0.055,0.100676667,6:02:30,0.503,0.40345,23:54:32,0,0,6:02:30,0.015,0.015303333
10/18/2018,6:07:30,0.412,0.713696667,6:07:30,3.3,2.700253333,6:07:30,12.2,9.386133333,6:07:30,4.018,3.728813333,6:07:30,0.469,0.422806667,6:07:30,0.693,0.61889,23:54:32,0,0,6:07:30,0.016,0.01589
10/18/2018,6:12:30,6.62,5.33516,6:12:30,23.2,22.93323333,6:12:30,5.39,7.42941,6:12:30,5.168,4.19868,6:12:30,0.196,0.567913333,6:12:30,4.26,3.228103333,23:54:32,0,0,6:12:30,0.018,0.025013333
10/18/2018,6:17:30,2.34,3.34809,6:17:30,0.208,0.620116667,6:17:30,16,35.1307,6:17:30,3.556,3.225396667,6:17:30,5.36,4.749806667,6:17:30,5.74,8.567966667,23:54:32,0,0,6:17:30,0.017,0.025153333
10/18/2018,6:22:30,0.026,5.850853333,6:22:30,0.092,0.954743333,6:22:30,0.179,0.644596667,6:22:30,7.553,7.05425,6:22:30,23.989,15.31079,6:22:30,14.7,13.36726667,23:54:32,0,0,6:22:30,0.017,0.015776667
10/18/2018,6:27:30,0.116,1.747216667,6:27:30,0.102,3.499216667,6:27:30,0.177,0.26884,6:27:30,6.265,6.534683333,6:27:30,4.773,5.76883,6:27:30,4.96,4.8732,23:54:32,0,0,6:27:30,0.017,0.017066667
10/18/2018,6:32:30,3.12,11.44916,6:32:30,95,21.09866667,6:32:30,0.242,1.12684,6:32:30,6.759,5.468063333,6:32:30,4.532,4.418326667,6:32:30,4.16,3.819033333,23:54:32,0,0,6:32:30,0.017,0.018156667
10/18/2018,6:37:30,53.1,14.06206333,6:37:30,0.062,4.837583333,6:37:30,3.14,6.749533333,6:37:30,1.358,1.728766667,6:37:30,4.365,3.986496667,6:37:30,3.41,3.437466667,23:54:32,0,0,6:37:30,0.02,0.019626667
10/18/2018,6:42:30,5.39,16.48873667,6:42:30,0.015,1.559986667,6:42:30,3.43,2.729093333,6:42:30,1.33,1.30189,6:42:30,3.41,3.554103333,6:42:30,3.4,3.500666667,23:54:32,0,0,6:42:30,0.019,0.02055
10/18/2018,6:47:30,11,7.984296667,6:47:30,0.057,1.81386,6:47:30,1.53,2.4132,6:47:30,0.708,0.757563333,6:47:30,2.222,2.2466,6:47:30,0.99,0.922703333,23:54:32,0,0,6:47:30,0.018,0.01852
10/18/2018,6:52:30,5.69,4.477916667,6:52:30,2.91,15.52295,6:52:30,11.2,8.0016,6:52:30,1.434,1.186903333,6:52:30,1.143,1.331036667,6:52:30,1.26,1.338933333,23:54:32,0,0,6:52:30,0.023,0.017216667
10/18/2018,6:57:30,20.8,19.09653333,6:57:30,10.4,4.39797,6:57:30,15.1,13.61628333,6:57:30,4.866,4.230886667,6:57:30,1.769,1.80135,6:57:30,2.29,2.2496,23:54:32,0,0,6:57:30,0.015,0.017003333
10/18/2018,7:02:30,0.033,0.239376667,7:02:30,0.013,0.020453333,7:02:30,3.6,5.60791,7:02:30,1.033,1.72306,7:02:30,3.032,2.87406,7:02:30,3.01,3.363133333,23:54:32,0,0,7:02:30,0.018,0.01725
10/18/2018,7:02:31,0.073,,7:02:31,0.014,,7:02:31,3.56,,7:02:31,1.075,,7:02:31,3.019,,7:02:31,2.78,,23:54:32,0,,7:02:31,0.016,
10/18/2018,7:02:32,0.085,,7:02:32,0.014,,7:02:32,3.64,,7:02:32,1.397,,7:02:32,3.102,,7:02:32,2.87,,23:54:32,0,,7:02:32,0.016,
10/18/2018,7:02:33,0.063,,7:02:33,0.013,,7:02:33,3.97,,7:02:33,1.39,,7:02:33,3.152,,7:02:33,3.16,,23:54:32,0,,7:02:33,0.018,
10/18/2018,7:02:34,0.056,,7:02:34,0.013,,7:02:34,4.09,,7:02:34,1.3,,7:02:34,3.179,,7:02:34,3.17,,23:54:32,0,,7:02:34,0.019,
10/18/2018,7:02:35,0.04,,7:02:35,0.014,,7:02:35,3.12,,7:02:35,1.228,,7:02:35,3.104,,7:02:35,3.12,,23:54:32,0,,7:02:35,0.019,
10/18/2018,7:02:36,0.032,,7:02:36,0.014,,7:02:36,2.52,,7:02:36,1.228,,7:02:36,3.095,,7:02:36,2.97,,23:54:32,0,,7:02:36,0.018,
10/18/2018,7:02:37,0.037,,7:02:37,0.013,,7:02:37,2.61,,7:02:37,1.279,,7:02:37,2.88,,7:02:37,2.95,,23:54:32,0,,7:02:37,0.021,
10/18/2018,7:02:38,0.041,,7:02:38,0.014,,7:02:38,3.07,,7:02:38,1.331,,7:02:38,2.939,,7:02:38,3.03,,23:54:32,0,,7:02:38,0.015,
10/18/2018,7:02:39,0.029,,7:02:39,0.014,,7:02:39,3.32,,7:02:39,1.434,,7:02:39,3.025,,7:02:39,3.22,,23:54:32,0,,7:02:39,0.015,
10/18/2018,7:02:40,0.02,,7:02:40,0.013,,7:02:40,3.33,,7:02:40,1.36,,7:02:40,2.878,,7:02:40,3.4,,23:54:32,0,,7:02:40,0.015,
10/18/2018,7:02:41,0.023,,7:02:41,0.013,,7:02:41,3.2,,7:02:41,1.412,,7:02:41,3.073,,7:02:41,3.41,,23:54:32,0,,7:02:41,0.017,
10/18/2018,7:02:42,0.036,,7:02:42,0.014,,7:02:42,2.91,,7:02:42,1.506,,7:02:42,3.123,,7:02:42,3.37,,23:54:32,0,,7:02:42,0.017,
10/18/2018,7:02:43,0.052,,7:02:43,0.014,,7:02:43,2.63,,7:02:43,1.427,,7:02:43,3.095,,7:02:43,3.56,,23:54:32,0,,7:02:43,0.016,
10/18/2018,7:02:44,0.039,,7:02:44,0.014,,7:02:44,2,,7:02:44,1.434,,7:02:44,3.13,,7:02:44,3.65,,23:54:32,0,,7:02:44,0.015,
10/18/2018,7:02:45,0.032,,7:02:45,0.014,,7:02:45,1.74,,7:02:45,1.462,,7:02:45,3.078,,7:02:45,3.68,,23:54:32,0,,7:02:45,0.018,
10/18/2018,7:02:46,0.076,,7:02:46,0.014,,7:02:46,2.48,,7:02:46,1.394,,7:02:46,3.154,,7:02:46,3.71,,23:54:32,0,,7:02:46,0.017,
10/18/2018,7:02:47,0.122,,7:02:47,0.014,,7:02:47,3.03,,7:02:47,1.329,,7:02:47,3.062,,7:02:47,3.69,,23:54:32,0,,7:02:47,0.016,
10/18/2018,7:02:48,0.071,,7:02:48,0.014,,7:02:48,3.39,,7:02:48,1.397,,7:02:48,3.042,,7:02:48,3.74,,23:54:32,0,,7:02:48,0.018,
10/18/2018,7:02:49,0.062,,7:02:49,0.014,,7:02:49,3.15,,7:02:49,1.35,,7:02:49,3.086,,7:02:49,3.71,,23:54:32,0,,7:02:49,0.017,
10/18/2018,7:02:50,0.09,,7:02:50,0.014,,7:02:50,3.18,,7:02:50,1.34,,7:02:50,3.102,,7:02:50,3.79,,23:54:32,0,,7:02:50,0.018,
10/18/2018,7:02:51,0.106,,7:02:51,0.014,,7:02:51,3.26,,7:02:51,1.524,,7:02:51,3.15,,7:02:51,3.88,,23:54:32,0,,7:02:51,0.017,
10/18/2018,7:02:52,0.103,,7:02:52,0.014,,7:02:52,2.85,,7:02:52,1.467,,7:02:52,3.115,,7:02:52,3.91,,23:54:32,0,,7:02:52,0.017,
10/18/2018,7:02:53,0.086,,7:02:53,0.015,,7:02:53,2.86,,7:02:53,1.552,,7:02:53,3.15,,7:02:53,3.86,,23:54:32,0,,7:02:53,0.019,
10/18/2018,7:02:54,0.076,,7:02:54,0.016,,7:02:54,3.3,,7:02:54,1.596,,7:02:54,3.073,,7:02:54,3.93,,23:54:32,0,,7:02:54,0.019,
10/18/2018,7:02:55,0.073,,7:02:55,0.018,,7:02:55,3.17,,7:02:55,1.586,,7:02:55,3.13,,7:02:55,4.04,,23:54:32,0,,7:02:55,0.019,
