CDT_time,bar_fence,u_1_5m_uconv,u_3m_uconv,u_4_5m_uconv,u_6m_uconv,u_10m_uconv,bar_fence_1,u_1_5m_lconv,u_3m_lconv,u_4_5m_lconv,u_6m_lconv,u_8_5m_lconv,u_10m_lconv,u_15m_lconv,u_20m_lconv,bar_fence_2,v_1_5m_uconv,v_3m_uconv,v_4_5m_uconv,v_6m_uconv,v_10m_uconv,bar_fence_3,v_1_5m_lconv,v_3m_lconv,v_4_5m_lconv,v_6m_lconv,v_8_5m_lconv,v_10m_lconv,v_15m_lconv,v_20m_lconv,bar_fence_4,w_1_5m_uconv,w_3m_uconv,w_4_5m_uconv,w_6m_uconv,w_10m_uconv,bar_fence_5,w_1_5m_lconv,w_3m_lconv,w_4_5m_lconv,w_6m_lconv,w_8_5m_lconv,w_10m_lconv,w_15m_lconv,w_20m_lconv,bar_fence_6,tc_1_5m_uconv,tc_3m_uconv,tc_4_5m_uconv,tc_6m_uconv,tc_10m_uconv,bar_fence_7,tc_1_5m_lconv,tc_3m_lconv,tc_4_5m_lconv,tc_6m_lconv,tc_8_5m_lconv,tc_10m_lconv,tc_15m_lconv,tc_20m_lconv,bar_fence_8,w_tc__1_5m_uconv,w_tc__3m_uconv,w_tc__4_5m_uconv,w_tc__6m_uconv,w_tc__10m_uconv,bar_fence_9,w_tc__1_5m_lconv,w_tc__3m_lconv,w_tc__4_5m_lconv,w_tc__6m_lconv,w_tc__8_5m_lconv,w_tc__10m_lconv,w_tc__15m_lconv,w_tc__20m_lconv
18:52:30,|,-0.984825551509857,-1.17078244686127,-1.37981748580933,-1.43325984477997,-1.563760638237,|,-0.710509181022644,-0.977515995502472,-1.15411233901978,-1.07983243465424,-1.22866404056549,-1.35740041732788,-1.45617949962616,-1.1736946105957,|,-0.911804378032684,-1.16789400577545,-1.30732595920563,-1.4793313741684,-1.6024683713913,|,-0.647646248340607,-0.841836810112,-0.985663235187531,-1.09306883811951,-1.23907005786896,-1.31192266941071,-1.46255838871002,-1.22350430488586,|,0.0286669470369816,0.0538372807204723,0.0615303032100201,0.0565105117857456,0.0260338522493839,|,0.0988679006695747,0.0108999442309141,0.0464646182954311,0.00069036555942148,-0.0146740647032857,-0.0425966940820217,0.00736394803971052,-0.00615617679432034,|,4.66995477676392,4.46199989318848,3.50342535972595,4.47090482711792,3.44722723960876,|,4.40176296234131,4.2885913848877,2.75820302963257,4.09030103683472,3.02553534507751,3.32540726661682,3.39516019821167,4.14765024185181,|,-0.00590192712843418,-0.00378906610421836,-0.00150476768612862,-0.00139909470453858,-0.00237377057783306,|,-0.00551901245489717,-0.00551322102546692,-0.00238918815739453,-0.00373891228809953,-0.00465985108166933,-0.00421047955751419,-0.0032970227766782,-0.00455622980371118
18:57:30,|,-0.763808488845825,-0.911568522453308,-1.08916449546814,-1.13957262039185,-1.246133685112,|,-0.627569615840912,-0.803706467151642,-0.960623860359192,-0.883453249931335,-1.03875553607941,-1.13649296760559,-1.27305221557617,-1.13760578632355,|,-0.761480510234833,-0.888421714305878,-0.995243489742279,-1.14710021018982,-1.27578163146973,|,-0.497518658638,-0.617769241333008,-0.776019930839539,-0.870578348636627,-1.02642154693604,-1.1011084318161,-1.25019311904907,-1.10690248012543,|,0.00377111975103617,0.0392662510275841,0.0631615221500397,0.0366513654589653,0.0109132835641503,|,0.0737814158201218,0.0155784478411078,0.0404643416404724,-0.00423947861418128,-0.00882464461028576,-0.0253398064523935,0.0322192311286926,0.0120751699432731,|,4.62586641311646,4.40478181838989,3.45245099067688,4.41593647003174,3.4092218875885,|,4.34171390533447,4.23042726516724,2.70874524116516,4.04042100906372,2.9896252155304,3.29635238647461,3.37151098251343,4.13740015029907,|,-0.00498189497739077,-0.00277707423083484,-0.00294957146979868,-0.00344773149117827,-0.00371576729230583,|,-0.00466383527964354,-0.00603952631354332,-0.00342380441725254,-0.00314126536250114,-0.00276472116820514,-0.00342073664069176,-0.00204907427541912,-0.00280761858448386
19:02:30,|,-0.962440729141235,-1.10817980766296,-1.30755186080933,-1.37547373771667,-1.46145129203796,|,-0.540708243846893,-0.759924411773682,-0.902803957462311,-0.854052424430847,-0.970700919628143,-1.06860816478729,-1.11912214756012,-1.01423788070679,|,-0.873537003993988,-1.09798562526703,-1.22321808338165,-1.36952269077301,-1.36457991600037,|,-0.398205578327179,-0.552667737007141,-0.684458017349243,-0.744651138782501,-0.855582356452942,-0.943753957748413,-1.0266432762146,-0.839450001716614,|,0.00681547215208411,0.0563616789877415,0.0791477262973785,0.0669470578432083,0.052579689770937,|,0.0788785293698311,0.021614708006382,0.0570897161960602,0.0264249015599489,0.0297919921576977,0.0181331355124712,0.0702063515782356,0.0405713953077793,|,4.63837099075317,4.42146062850952,3.46627688407898,4.42964267730713,3.41971850395203,|,4.28829383850098,4.19773006439209,2.67957401275635,4.01009225845337,2.96047472953796,3.27676701545715,3.35730528831482,4.11558771133423,|,-0.00631037820130587,-0.00439520925283432,-0.00376041559502482,-0.00328900665044785,-0.0055357008241117,|,-0.00243259291164577,-0.00377195701003075,-0.00069391616852954,-0.00143220752943307,-0.000528376665897667,-0.000890895898919553,-0.00168721005320549,-0.00106248119845986
19:07:30,|,-0.734143316745758,-0.852754890918732,-1.06414568424225,-1.12837612628937,-1.24865210056305,|,-0.661221623420715,-0.852427661418915,-0.882491707801819,-0.789467930793762,-0.857649862766266,-0.965482592582703,-1.11374175548553,-1.0908145904541,|,-0.699340641498566,-0.873388946056366,-0.972927868366241,-1.06283020973206,-1.07820284366608,|,-0.454062074422836,-0.55811333656311,-0.640032529830933,-0.657214939594269,-0.743376612663269,-0.808337152004242,-0.948194146156311,-0.825853526592255,|,0.0246118027716875,0.0782825574278831,0.0912020578980446,0.0785723626613617,0.0255973841995001,|,0.040525458753109,-0.0156671926379204,0.0289447568356991,-0.00863873027265072,-0.00109722523484379,-0.030212726444006,0.00601308373734355,-0.00847030151635408,|,4.6184515953064,4.40184879302979,3.45521450042725,4.4154052734375,3.41343569755554,|,4.33446359634399,4.23067951202393,2.69548225402832,4.01631116867065,2.96878051757813,3.28317904472351,3.36746573448181,4.12031650543213,|,-0.00505991233512759,-0.00285875704139471,-0.00265481066890061,-0.00274715200066566,-0.00238190894015133,|,-0.00361732114106417,-0.004019177518785,-0.000436187692685053,-0.000162371346959844,-0.00134314771275967,-0.00218575820326805,-0.00150381168350577,-0.00330761470831931
19:12:30,|,-0.801636099815369,-0.956292867660522,-1.1681135892868,-1.26346051692963,-1.39318788051605,|,-0.87935471534729,-1.12884652614594,-1.18021643161774,-1.22386121749878,-1.18912827968597,-1.25447595119476,-1.3906341791153,-1.51199901103973,|,-0.695323050022125,-0.894522726535797,-0.97611129283905,-1.10982894897461,-1.18398380279541,|,-0.530933737754822,-0.664024889469147,-0.770492196083069,-0.840842187404633,-0.890444040298462,-0.938573002815247,-1.04149210453033,-1.01906859874725,|,0.00122523680329323,0.0284469518810511,0.030898554250598,0.0144651830196381,-0.00125470873899758,|,0.0540549419820309,-0.0122088445350528,0.0465045422315598,0.0133856758475304,0.018785772845149,-0.0162166208028793,0.0313609167933464,-0.0285744238644838,|,4.61736392974854,4.40772581100464,3.45673584938049,4.4252405166626,3.42516279220581,|,4.37670516967773,4.27908706665039,2.74856972694397,4.08351135253906,3.02026438713074,3.33068919181824,3.41467571258545,4.18614053726196,|,-0.00555828213691711,-0.0034564477391541,-0.00476363021880388,-0.00651995511725545,-0.00629421463236213,|,-0.0038677304983139,-0.00578346848487854,-0.00253572245128453,-0.00239821639843285,-0.00143821525853127,-0.0022621201351285,-0.00230809021741152,-0.00330741354264319
19:17:30,|,-0.857570111751556,-1.07672345638275,-1.30767095088959,-1.42580759525299,-1.56789553165436,|,-0.720580875873566,-0.954857409000397,-1.0877503156662,-1.05241763591766,-1.13467025756836,-1.23343944549561,-1.27890264987946,-1.18028199672699,|,-0.879248559474945,-1.14226615428925,-1.26411724090576,-1.4260995388031,-1.56127071380615,|,-0.537898182868958,-0.656210660934448,-0.809752702713013,-0.926045596599579,-1.07408583164215,-1.12965404987335,-1.17926323413849,-0.979297935962677,|,0.0116561483591795,0.0492634661495686,0.0679901540279388,0.0530737526714802,-0.00296461372636259,|,0.0555803887546062,-0.0117903696373105,0.0264714602380991,-0.00842199381440878,-0.0126066394150257,-0.0363806150853634,0.0095504792407155,-0.0408625267446041,|,4.66598606109619,4.45858192443848,3.49734401702881,4.46735525131226,3.46031332015991,|,4.38843107223511,4.27792072296143,2.74303722381592,4.08648109436035,3.02182269096375,3.3349301815033,3.40690231323242,4.17224931716919,|,-0.00507865799590945,-0.00462723057717085,-0.00529172876849771,-0.00866992585361004,-0.0120537858456373,|,-0.00343036488629878,-0.00425758818164468,-0.00334756239317358,-0.00271098618395627,-0.00340590765699744,-0.00524205761030316,-0.00342856138013303,-0.00415992131456733
19:22:30,|,-0.823529839515686,-1.00765895843506,-1.22198820114136,-1.29232537746429,-1.36009037494659,|,-1.04073703289032,-1.33572936058044,-1.42031490802765,-1.41384625434875,-1.41615617275238,-1.47915828227997,-1.52798128128052,-1.50222957134247,|,-0.694805443286896,-0.867304980754852,-0.954838037490845,-1.07415735721588,-1.13527011871338,|,-0.573202788829803,-0.738877534866333,-0.872684121131897,-0.955114185810089,-1.0532351732254,-1.09766185283661,-1.17746162414551,-1.08369553089142,|,-0.00577749498188496,0.0394681952893734,0.0604792758822441,0.0569767169654369,0.0392584875226021,|,0.0698676705360413,-0.0194353368133307,0.0425967015326023,0.00867276545614004,0.0336734540760517,0.0203207228332758,0.0708142817020416,0.0491224564611912,|,4.60436534881592,4.38962078094482,3.43941950798035,4.40512990951538,3.4025821685791,|,4.42076826095581,4.30241966247559,2.77340340614319,4.10027313232422,3.03492474555969,3.33727312088013,3.40741872787476,4.1710958480835,|,-0.00378357688896358,-0.00347120012156665,-0.00423902086913586,-0.0035501210950315,-0.00533461896702647,|,-0.00403072638437152,-0.00441317819058895,-0.00257076928392053,-0.00270228809677064,-0.00170757772866637,-0.00320071750320494,-0.0050273509696126,-0.00710785202682018
19:27:30,|,-1.02085375785828,-1.12931716442108,-1.38634729385376,-1.48258006572723,-1.59623193740845,|,-1.08383417129517,-1.37428152561188,-1.50986540317535,-1.6083265542984,-1.55792272090912,-1.65489196777344,-1.75413370132446,-1.72769975662231,|,-0.478054493665695,-0.640896320343018,-0.688144147396088,-0.794531106948853,-0.869586825370789,|,-0.486721903085709,-0.625005602836609,-0.76613461971283,-0.856290638446808,-0.972467660903931,-1.04299104213715,-1.15624642372131,-1.0624862909317,|,-0.0206685103476048,0.0362133421003819,0.0109866708517075,0.00729260966181755,-0.0603192746639252,|,0.0736913755536079,-0.0129791693761945,0.0329020209610462,-0.000440037983935326,0.0175769403576851,-0.0117897056043148,0.0404048077762127,-0.0137563478201628,|,4.70324754714966,4.48720502853394,3.53194618225098,4.48900318145752,3.48139500617981,|,4.4115629196167,4.28910970687866,2.76985096931458,4.10129261016846,3.03895998001099,3.340336561203,3.41613960266113,4.18263387680054,|,-0.00720719899982214,-0.00479657808318734,-0.00483679072931409,-0.00473128957673907,-0.00373285170644522,|,-0.0034827976487577,-0.0047913552261889,-0.00284580630250275,-0.00344012165442109,-0.00321890716440976,-0.00370632903650403,-0.00363720906898379,-0.00303289946168661
19:32:30,|,-0.790330529212952,-0.950239479541779,-1.21453654766083,-1.28599047660828,-1.45552790164948,|,-1.54485261440277,-1.94141852855682,-2.02317357063293,-2.09650301933289,-2.05220890045166,-2.15469622612,-2.20630550384521,-2.33013367652893,|,-0.419212371110916,-0.492027908563614,-0.569196283817291,-0.747128903865814,-0.745498299598694,|,-0.472280561923981,-0.607393801212311,-0.769569039344788,-0.865560293197632,-0.977903962135315,-0.988242566585541,-1.06959843635559,-1.0733767747879,|,0.0164514258503914,0.046454880386591,0.0458165928721428,0.00556963169947267,-0.0238386113196611,|,0.0735201239585876,-0.0277973562479019,0.0474808104336262,0.00712737999856472,0.0279693007469177,0.00739342113956809,0.0693934336304665,0.0478914491832256,|,4.67362833023071,4.46680879592896,3.52118468284607,4.4815936088562,3.47694063186646,|,4.42312526702881,4.30269241333008,2.77975344657898,4.10208177566528,3.0487539768219,3.34861278533936,3.41915845870972,4.18751525878906,|,-0.00460345717146993,-0.00356768839992583,-0.00498842541128397,-0.00410909205675125,-0.00529110617935658,|,-0.00265948614105582,-0.00334122707135975,-0.00224741897545755,-0.00352489924989641,-0.00344539480283856,-0.00356547976844013,-0.00366657832637429,-0.00291581242345273
19:37:30,|,-0.794905722141266,-0.874865114688873,-1.10211384296417,-1.19415104389191,-1.43652677536011,|,-1.2840313911438,-1.65154898166656,-1.76128101348877,-1.86575758457184,-1.87059187889099,-2.00090909004211,-2.07934904098511,-2.06761789321899,|,-0.267353713512421,-0.349096447229385,-0.351603031158447,-0.433801829814911,-0.489769458770752,|,-0.422040015459061,-0.507306516170502,-0.650532007217407,-0.729933619499207,-0.797733962535858,-0.813456892967224,-0.91977459192276,-0.835537850856781,|,0.00585349649190903,0.0555965192615986,0.055616982281208,0.0366287603974342,0.0604911409318447,|,0.062215194106102,-0.022058118134737,0.0512343719601631,0.00910295639187098,0.0230094660073519,0.0141487522050738,0.0793331116437912,0.0724660009145737,|,4.6838960647583,4.47469902038574,3.52578496932983,4.48707437515259,3.4875853061676,|,4.37337779998779,4.25898599624634,2.74098181724548,4.07039356231689,3.01805782318115,3.31736898422241,3.38769817352295,4.14219379425049,|,-0.00480404030531645,-0.00325879547744989,-0.00366323930211365,-0.00304245273582637,-0.00596004398539662,|,-0.00319985928945243,-0.0049836034886539,-0.0033462205901742,-0.00439035007730126,-0.00296499626711011,-0.00254369061440229,-0.0022199924569577,-0.00270757498219609
