CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv,,Init,Rel,Uconv,Lconv
18:02:30,|,1.96752584,4.224442482,4.391246319,5.176229954,5.598585129,5.125732899,|,1.784486651,NaN,3.441917419,4.505764484,5.018783569,5.812302589,|,2.488213301,4.234783173,NaN,5.884449959,5.284295559,6.406045914,|,1.287605882,2.998006105,3.240892172,4.646463871,4.584173203,5.198723316,|,5.148024559,5.495984077,5.980062962,5.059933662,6.039721489,4.516303062,,0,0,0,0
19:17:30,|,1.604826689,3.549140692,4.027464867,4.452641964,4.828023434,5.2191329,|,1.601537228,2.851591349,3.369079828,4.164383411,4.155792713,4.800770283,|,1.814013362,NaN,3.917367697,5.152749062,4.49144125,5.020245075,|,0.798413336,2.613147497,2.9419837,3.200634718,3.633011103,3.887998581,|,4.523796558,3.843628883,5.229883194,4.380250454,5.472828388,4.438634396,,1,0,0,1
19:22:30,|,1.708330035,3.736052513,4.214533806,4.679513454,5.09706831,5.497745037,|,1.67700994,3.276325703,3.80657959,4.332043171,4.51595211,4.86950779,|,1.654863358,NaN,3.680055141,4.332449913,4.197034836,4.597413063,|,0.898766637,2.747369528,3.158877134,3.340966463,3.769922018,4.14845705,|,4.656982422,4.036081314,5.358559132,4.568971157,5.669908047,4.637540817,,1,1,0,1
19:27:30,|,1.635623336,3.628887177,3.860125303,4.500882626,4.832871437,5.303621292,|,1.476923347,2.946650267,3.659076691,4.029436588,4.298129559,4.663184643,|,1.799583197,NaN,3.870112896,4.17971468,4.378684998,4.87969017,|,0.83439815,2.668613195,3.257102966,3.176455021,3.546613932,3.721318483,|,4.456409931,3.712456465,4.942534447,4.11072588,5.157291412,4.24228096,,1,1,0,0
19:32:30,|,1.518363357,3.427965164,3.912993193,4.341086388,4.715720177,5.148832321,|,1.605806708,3.167473316,3.111788511,4.160464287,4.358163357,4.646315575,|,1.695989966,NaN,3.529958725,3.869774818,3.984678745,4.514626026,|,0.717086673,2.291183233,2.387626648,2.958337545,3.362387657,3.615761757,|,4.457615852,3.533551455,4.982646942,3.994622707,5.114386559,4.832479954,,1,0,0,1
19:37:30,|,1.387749195,3.016680002,3.491688728,3.895794392,4.176944256,4.555027962,|,1.39072001,2.73890543,2.6140728,3.571630955,3.779155254,4.077163219,|,1.187770009,1.735985756,2.578197718,2.8977983,3.065134525,3.538029671,|,0.652786672,2.20876193,2.511282206,2.756505728,3.144175053,3.6052351,|,3.901036263,3.440326929,4.454548836,3.966137648,4.693768501,3.985638857,,1,0,1,1
19:42:30,|,1.202586651,2.636659145,3.042282343,3.393746376,3.767556667,4.332413197,|,1.306322098,2.6315732,3.249047279,3.662908077,3.808622599,4.123700619,|,1.339619994,2.403707981,2.931485176,3.271911144,3.434103489,3.903096199,|,0.644633353,2.191839457,2.510039806,2.744677067,3.053663254,3.25955081,|,3.930020571,3.247297049,4.548193932,3.629927158,4.677382946,3.83310461,,1,1,1,1
19:47:30,|,1.455706716,3.263926983,3.757127047,4.157734394,4.40678978,4.612285614,|,1.46097672,2.814942837,3.365230083,3.749531746,4.008734226,4.366615772,|,1.452690005,2.647197485,3.152261734,3.424186468,3.512566805,3.904064894,|,0.629433334,2.210200071,2.497433424,2.688364029,2.951682806,3.206021547,|,4.154723644,3.162383318,4.725952625,3.475051403,4.870846748,3.735012054,,1,1,1,1
19:52:30,|,1.299156666,2.881843567,3.404093742,3.763427973,3.973456144,4.205116272,|,1.352576613,2.653451443,3.163829327,3.567938805,3.780381918,4.037120819,|,1.383921266,2.487799168,3.006705761,3.348634481,3.506419182,4.080255032,|,0.687003314,2.279435873,2.594907522,2.842342854,3.10784173,3.50013876,|,3.824404001,3.350119829,4.322708607,3.797688723,4.548743725,4.107340336,,1,1,1,1
19:57:30,|,1.414780021,3.197364569,3.687383652,4.103831291,4.405617237,4.697793484,|,1.285050035,2.563383579,3.081403971,3.512284994,3.776345491,4.0157094,|,1.480966687,2.614682436,3.052322388,3.429567575,3.593924046,4.266135693,|,0.604524851,2.084710121,2.322165251,2.531012297,2.846791029,3.112532377,|,3.855136395,3.064392805,4.374298096,3.430860996,4.633220196,3.786756754,,1,1,1,1
20:02:30,|,1.267322421,2.797554255,3.281881571,3.693416357,4.035739899,4.345807076,|,1.293946624,2.527953863,3.00859499,3.472260714,3.701405525,3.936160326,|,1.496043324,2.742909431,3.158252239,3.61452961,3.663849592,4.300345898,|,0.652306676,2.263210058,2.59556675,2.844977856,3.17258358,3.404786587,|,3.832938671,3.356108427,4.300681591,3.593227625,4.481101036,3.888564587,,1,1,1,1
20:07:30,|,1.085896611,2.43405509,2.86815691,3.138369322,3.386018991,3.597360849,|,1.120880246,2.198174,2.595978022,2.919641256,3.159992933,3.453634739,|,1.22396338,2.079031944,2.484962702,2.780897141,2.898660183,3.399044752,|,0.545283318,2.043340206,2.274740696,2.524077177,2.777048826,3.116797447,|,3.249145269,3.019323349,3.828670502,3.408839703,4.019096851,3.731173992,,1,1,1,1
20:12:30,|,1.209130049,2.713485241,3.062340736,3.330861807,3.576717615,3.843855619,|,1.092766643,2.103661776,2.47469449,2.803379774,3.025617361,3.186272621,|,1.246936679,2.13318634,2.540363312,3.558038473,2.932183027,3.447080612,|,0.556343317,2.126035452,2.421390772,2.774030924,3.086057186,3.399501324,|,3.063195705,3.288873434,3.577396154,3.629540682,3.759865999,3.852004766,,1,1,0,1
20:17:30,|,1.225096703,2.700214863,3.102344751,3.414201021,3.700132608,3.908468246,|,1.254983306,2.53303504,3.013141394,3.383577108,3.599777699,3.800691843,|,1.303291082,2.350283623,2.736881018,4.20330143,3.182105303,3.556984425,|,0.626873314,2.411612034,2.792206526,3.120114565,3.405460119,3.73110795,|,3.634367228,3.664758205,4.203876019,3.966145754,4.45992136,4.21687746,,1,1,0,1
20:22:30,|,1.238096714,2.762769461,3.198041201,3.504510164,3.772609472,4.032479763,|,1.227096677,2.49063921,2.934882402,3.265874624,3.412116528,3.609821558,|,1.616803288,2.911931515,3.271173239,4.366158009,3.673837185,4.139472961,|,0.614369988,2.353732109,2.613886833,2.895976305,3.143723488,3.474330902,|,3.494310856,3.35253787,3.947309971,3.723886013,4.081866264,3.911407232,,1,1,0,1
20:27:30,|,1.31313777,2.94724369,3.360184669,3.703321934,4.044747829,4.183107853,|,1.57057333,3.105305195,3.458034754,4.058698654,4.319325924,4.55023098,|,1.45192337,2.676234245,3.19201827,3.628493071,3.737948418,4.171382427,|,0.651493847,2.601900578,2.902621269,3.191887856,3.472022295,3.841149092,|,4.377897263,3.697111845,4.929252625,4.226839066,5.176241398,4.548960209,,1,1,1,1
20:32:30,|,1.033106685,2.381024122,2.70324707,2.989801884,3.217006683,3.528548956,|,1.411263347,2.737023592,3.192540646,3.47230196,3.666669846,3.982228041,|,1.46402669,2.63599205,3.08584857,3.344437122,3.608675003,3.990967751,|,0.598576665,2.403504848,2.903652668,3.273965597,3.623262167,4.020264149,|,3.752753973,3.920610905,4.420479774,4.081752777,4.597667694,4.360846043,,1,1,1,1
20:37:30,|,1.068760037,2.351566792,2.727351665,3.072647333,3.336460114,3.673422813,|,1.216088653,2.443545818,2.929945469,3.317538261,3.57848382,3.863440514,|,1.320686936,2.400798321,2.853377581,3.713137388,3.3620224,3.7361269,|,0.487906665,NaN,NaN,NaN,NaN,NaN,|,3.643130779,NaN,4.268466949,3.298784494,4.590915203,3.609684706,,1,1,0,0
20:42:30,|,1.163823366,2.626545429,2.999697924,3.310574293,3.57728982,3.94229579,|,1.287389994,2.555083036,3.077847958,3.548661709,3.806933165,4.048987865,|,1.38882339,2.435355425,2.85413909,4.29387188,3.272360325,3.628053427,|,0.50826335,NaN,NaN,NaN,NaN,NaN,|,3.86480999,NaN,4.422430038,3.570382595,4.52278471,3.87728858,,1,1,0,0
20:47:30,|,1.399089694,3.233896255,3.704863548,4.020751476,4.253928661,4.588850498,|,1.497603297,3.110260248,3.590176582,4.002064705,4.16817379,4.379211903,|,1.390806675,2.449897766,2.92102313,1.851497889,3.461452246,3.874924183,|,0.625366688,NaN,NaN,NaN,NaN,NaN,|,4.202250957,NaN,4.816792488,4.005242348,5.006378651,4.342983246,,1,1,0,0
20:52:30,|,1.206156611,2.739858627,3.169318438,3.475035429,3.738752365,4.058571339,|,1.447513342,2.868794203,3.367269278,3.827756882,4.07682991,4.35304594,|,1.361266613,2.419046402,2.870939732,6.885388851,3.367946625,3.716295481,|,0.668150008,NaN,NaN,NaN,NaN,NaN,|,4.19511652,NaN,4.724363804,4.294701576,4.751322269,4.432892323,,1,1,0,0
