CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
21:57:30,|,NaN,275.391649246,NaN,-0.003119371,2.234191656,2.966710329,-0.865852654,-0.917564511,-0.066832438,-0.082573466,0.020648321,0.028245099
23:17:30,|,277.249266148,275.502496004,-0.006648214,-0.00486954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:22:30,|,277.134430885,275.437877417,-0.007242008,-0.00575749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:27:30,|,277.040034771,275.358452082,-0.010868592,-0.007504388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:32:30,|,276.95745635,275.316200972,-0.017355872,-0.017327826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:37:30,|,276.894793034,275.273462534,-0.017161755,-0.014118429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:42:30,|,276.886447191,275.259725809,-0.014506086,-0.016799878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:47:30,|,276.84765029,275.286845684,-0.010008139,-0.009776767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:52:30,|,276.743653774,275.171346664,-0.012310713,-0.009348397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23:57:30,|,276.346759796,274.956618071,-0.009414788,-0.006196421,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:02:30,|,276.29756856,274.940903783,-0.017440176,-0.011143348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:07:30,|,276.055367231,274.733051181,-0.010320187,-0.007970881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:12:30,|,276.163071871,274.771606207,-0.014483146,-0.015562175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:17:30,|,276.079994202,274.687633276,-0.010772351,-0.007295258,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:22:30,|,276.013269186,274.549679875,-0.008506795,-0.007595724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:27:30,|,276.326766968,274.797921538,-0.005403848,-0.006948141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:32:30,|,276.140358686,274.775530815,-0.003750249,-0.00489313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:37:30,|,275.858387232,274.702924132,-0.007109826,-0.004213081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:42:30,|,275.641125917,274.357906222,-0.005447343,-0.004796859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:47:30,|,275.406459808,274.012530208,-0.000138873,-0.001377214,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
00:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
02:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
