CDT_Time,bar_fence,R_Bulk
19:02:30,|,18.9389472873327
07:27:30,|,-149.646984143146
07:32:30,|,-501.427780507301
07:37:30,|,-277.467403992217
07:42:30,|,-356.880337447709
07:47:30,|,-334.344943549338
07:52:30,|,-270.159413410057
07:57:30,|,-105.858165440546
08:02:30,|,-1705.08398429887
08:07:30,|,-2879.83751686747
08:12:30,|,45.8324197281438
08:17:30,|,1026.17219276101
08:22:30,|,439.420032510051
08:27:30,|,166.400512887824
08:32:30,|,214.344326323999
08:37:30,|,-215.054853183703
08:42:30,|,-96.0389981142123
08:47:30,|,-254.014546562364
08:52:30,|,-4350.45018508576
08:57:30,|,-65.1679061590656
09:02:30,|,-393.926570722367
09:07:30,|,-314.418332278255
09:12:30,|,-89.497658824098
09:17:30,|,-63.4478121429612
09:22:30,|,-50.9579906772791
09:27:30,|,-28.8685668468971
09:32:30,|,-34.193794474366
09:37:30,|,-84.131621059321
09:42:30,|,-80.3390550678477
09:47:30,|,-158.25558682262
09:52:30,|,-75.5172978473908
09:57:30,|,-14.7018357582514
10:02:30,|,-24.4213675021481
10:07:30,|,-6.89199637563868
10:12:30,|,-11.0427441953465
10:17:30,|,-30.2914008084578
10:22:30,|,-7.91252851434203
10:27:30,|,-11.5298191731222
10:32:30,|,-14.665901076315
10:37:30,|,-34.4373699585412
10:42:30,|,-9.86581816636816
10:47:30,|,-27.2370346264808
10:52:30,|,-16.0336497804667
10:57:30,|,-27.7698351518008
11:02:30,|,-8.37563504961223
11:07:30,|,-9.40806922858925
11:12:30,|,-5.21548322906513
11:17:30,|,-8.11712842280514
11:22:30,|,-23.4167605787766
11:27:30,|,-8.25071125291288
11:32:30,|,-7.49815399873453
11:37:30,|,-10.7691598605585
11:42:30,|,-6.39410432802175
11:47:30,|,-15.3486275290832
11:52:30,|,-16.0209867768877
11:57:30,|,-20.9812407038201
12:02:30,|,-8.5033700680694
12:07:30,|,-20.2205142737816
12:12:30,|,-7.83931138675476
12:17:30,|,-6.26265283240884
12:22:30,|,-15.4712249874128
12:27:30,|,-14.038748117499
12:32:30,|,-13.9215765710468
12:37:30,|,-6.35439480537574
12:42:30,|,-7.16167713723325
12:47:30,|,-11.8580726896274
12:52:30,|,-15.1010634921104
12:57:30,|,-10.1704130426974
13:02:30,|,-3.95712836057173
13:07:30,|,-23.1811129394092
13:12:30,|,-9.22545722148099
13:17:30,|,-3.67801357281827
13:22:30,|,-6.28726742532332
13:27:30,|,-13.3768134471644
13:32:30,|,-12.332296178396
13:37:30,|,-13.7188834565396
13:42:30,|,-9.57558490862711
13:47:30,|,-20.0716513511354
13:52:30,|,-6.74974642978371
13:57:30,|,-6.40338376216182
14:02:30,|,-140.729821608313
14:07:30,|,-19.5899708047663
14:12:30,|,-18.1958001764409
14:17:30,|,-6.98404723879052
14:22:30,|,-58.3286502636725
14:27:30,|,-19.9174116329535
14:32:30,|,-9.2860132976348
14:37:30,|,-9.47034912011002
14:42:30,|,-6.54448784244569
14:47:30,|,-6.45368973507744
14:52:30,|,-8.8714847570606
14:57:30,|,-5.57931765159959
15:02:30,|,-8.87264588914699
15:07:30,|,-10.7800783664904
15:12:30,|,-7.63075371706295
15:17:30,|,-6.47427538639407
15:22:30,|,-11.7403407833731
15:27:30,|,-7.96943990683884
15:32:30,|,-4.84894394694483
15:37:30,|,-7.71254959759183
15:42:30,|,-9.29123941873625
15:47:30,|,-10.2919810377009
15:52:30,|,-4.67891774809075
15:57:30,|,-14.060333968932
16:02:30,|,-30.1191886658439
16:07:30,|,-5.57717910976586
16:12:30,|,-6.66977054325211
16:17:30,|,-24.0220726661752
16:22:30,|,-16.0100267618899
16:27:30,|,-15.068127146952
16:32:30,|,-13.4096612228975
16:37:30,|,-7.6643293624693
16:42:30,|,-3.8612620222446
16:47:30,|,-3.37814853893629
16:52:30,|,-9.32360141995166
16:57:30,|,-9.42083303083298
17:02:30,|,-3.40667553781327
17:07:30,|,-2.54450298228272
17:12:30,|,-2.30398543649421
17:17:30,|,-2.76884103969357
17:22:30,|,-0.0516937833362439
17:27:30,|,4.1227005233033
17:32:30,|,9.41341674626875
17:37:30,|,10.3610174902358
17:42:30,|,20.6774167250858
17:47:30,|,24.6428991627671
17:52:30,|,30.54808655973
17:57:30,|,136.357692055217
18:02:30,|,551.964391900251
18:07:30,|,27.5945092177776
18:12:30,|,37.0708671588195
18:17:30,|,39.507937843191
18:22:30,|,65.0153729181217
18:27:30,|,69.3019191635044
18:32:30,|,38.9040672790883
18:37:30,|,45.8686508627406
18:42:30,|,128.568794984185
18:47:30,|,576.60865233298
18:52:30,|,258.356952615194
18:57:30,|,130.463782333416
